 	l	ha	scritta	</S>
a20	0.377937014122	0.206942027281	0.406054486828	0.00906648535094
a31	0.0319234665408	0.25374493	0.67647774822	0.0378538757544
a35	0.00571608123169	0.191941256705	0.7634233654	0.0389193145098
a31	0.0539572790776	0.245383111581	0.568860953154	0.131798657589
a35	0.0162913182201	0.212417741598	0.763842641	0.007448325795
a31	0.110218186914	0.15780449816	0.698973444	0.0330038307511
a41	0.0777813816474	0.226810745047	0.6851598212	0.0102480773
a31	0.0130518114308	0.0417967807635	0.798656428	0.1464949588
a11	0.0155271788953	0.017447152367	0.674485378	0.29254029594
a18	0.0807127394936	0.11960482095	0.42915439302	0.3705280476
a13	0.0624905197165	0.122736713101	0.3517141121	0.46305866982
</S>	0.0468731031964	0.168785045204	0.337555707212	0.4467861476
