 	prima	di	andare	alla	scuola	</S>
a7	0.364051706762	0.219233246496	0.014816066028	0.158499160607	0.237964584894	0.00543522624596
a11	0.191229608843	0.29481428274	0.2603619729	0.0210591197681	0.218298291733	0.0142367051618
a43	0.26013061695	0.0450352293006	0.31058922488	0.0139088602751	0.360980355732	0.0093557118826
a20	0.257060328787	0.090144845447	0.05123573208	0.0103660454541	0.57957044052	0.0116226296184
a31	0.203095441844	0.052697464948	0.06093313514	0.0482788109225	0.583362867886	0.0516322511712
a20	0.192777196681	0.0679723509936	0.21789319252	0.064858073674	0.41307973186	0.04341948856
a31	0.119740199975	0.126715518683	0.055268100886	0.054613735992	0.613226352	0.030436135
a20	0.197755229211	0.013048626936	0.20539531655	0.042553149632	0.44741592286	0.093831772212
a31	0.0549649010153	0.120679909596	0.0309807815446	0.0610659256932	0.699950162	0.032358325834
a20	0.0729293291673	0.0180044510377	0.185695398936	0.01883813402	0.538142149	0.166390515442
a31	0.0657604594069	0.131684117426	0.0226813116584	0.0462985003873	0.69415085	0.03942477386
</S>	0.008869043047	0.0190644901436	0.0466249226022	0.013620858772	0.692980416	0.21884028024
