 	lo	posso	finire	di	fare	</S>
a20	0.346312066617	0.04911241474	0.079682273726	0.153291941588	0.102177506726	0.269423753575
a31	0.0620577306304	0.38021707714	0.2700340534	0.080449966574	0.072789757792	0.134451419964
a46	0.00125780375996	0.300163339799	0.32680324369	0.0254478148488	0.244883496949	0.101444290003
a31	0.10670972127	0.45360123976	0.0770801566	0.016496314866	0.211271585625	0.134841000545
a41	0.00809038311416	0.227364177953	0.496278456339	0.009463462246	0.229862018	0.028941516052
a18	0.24847761535	0.247280085693	0.129819223521	0.013092306	0.17487759588	0.186453132597
a7	0.39486765079	0.0875724812696	0.0852328388124	0.036576312028	0.13242890932	0.263321827102
a41	0.20694003096	0.0701374993792	0.212079657524	0.113023252534	0.1669456684	0.230873890072
a31	0.0748071733601	0.0596896863396	0.03941506244	0.19060513184	0.242157232	0.3933257538
a0	0.307055636555	0.0272492427832	0.09832064126	0.2090835076	0.2784549054	0.07983609
a31	0.00964465947671	0.0565008231157	0.0125360871397	0.085279466872	0.517260838	0.31877810914
a39	0.0386735282582	0.070943740499	0.0323682492892	0.04450134884	0.395862076	0.417651036
a46	0.0345162864715	0.0990065598595	0.00503175279856	0.06457935082	0.480139816	0.3167262292
</S>	0.0266598805728	0.0972226848965	0.00263589315728	0.0483532659392	0.421425386	0.4037028828
