 	ora	ho	finito	di	scrivere	</S>
a23	0.383911081511	0.194149600524	0.0178987299811	0.022391359093	0.339107125966	0.0425420686753
a31	0.0751448983	0.1831301427	0.035923975454	0.273959870022	0.360438945096	0.0714021744298
a28	0.161105406314	0.186142469891	0.0789943090954	0.360147849508	0.201529572136	0.012080377313
a31	0.0738236898849	0.209380325741	0.258898629887	0.206945459344	0.216664157064	0.0342877044863
a41	0.0594043040548	0.180380287475	0.172403747546	0.310202637094	0.269307103588	0.00830190015315
a21	0.192772380686	0.244318242699	0.120649382905	0.0349832464662	0.401140541792	0.00613622828468
a24	0.444026441995	0.0450723752295	0.0478152036865	0.0250245275224	0.42624298156	0.0118184787608
a31	0.38704941628	0.0179005706469	0.154729053288	0.0124317223016	0.3724256616	0.05546357668
a39	0.348677620145	0.00503293038179	0.145566624581	0.005801039586	0.453628972	0.0412928121092
a31	0.100536277498	0.0817547710807	0.111290190442	0.0496122055579	0.583963484	0.0728431008
a28	0.114573096322	0.0229258418017	0.180735711456	0.0242895059947	0.4723830768	0.185092806846
a31	0.066060457546	0.1020255446	0.173859624077	0.112295486323	0.33479893298	0.21095996112
a20	0.125794258406	0.0121514971243	0.195689085549	0.0235689278315	0.342294146	0.30050207208
a37	0.0335389170626	0.138232387795	0.18424268735	0.159133021403	0.179452510252	0.3054004843
</S>	0.0263790556527	0.165614636862	0.176378273075	0.112841281463	0.19654228748	0.3222444804
