 	sono	vestita	</S>
a31	0.370982692226	0.502790459797	0.126226861946
a20	0.355021477076	0.61503183692	0.0299466987235
a31	0.275074337	0.520805338844	0.204120363198
a41	0.24612162694	0.678235812824	0.0756425604449
a46	0.25246861432	0.526243706	0.22128768868
a18	0.14374019744	0.36385616	0.49240365
a24	0.08781215943	0.4477260788	0.4644617726
a31	0.150539196182	0.311184937138	0.538275878
a11	0.0238275698312	0.416913852194	0.5592585824
a0	0.12141825841	0.41823863768	0.4603431308
a15	0.136804439211	0.39241097996	0.47078459344
a8	0.164927158815	0.40672119451	0.42835164754
a39	0.112783949316	0.415484250054	0.47173180454
</S>	0.182861943798	0.44430791897	0.3728301442
