 	non	ho	cosa	a	fare	</S>
a8	0.208719438348	0.0152534107138	0.189133864684	0.325710526	0.12390780284	0.137274918751
a31	0.04579802416	0.200272585492	0.05191292702	0.1292784114	0.344268751614	0.22846930575
a37	0.0990152293696	0.0936244450564	0.220928743097	0.2179924174	0.2462592898	0.122179847286
a11	0.272300631946	0.131166174848	0.05741612677	0.07434627818	0.220446132055	0.244324663598
a13	0.265822130673	0.106588062618	0.0630908398214	0.02252972032	0.24529538808	0.296673854956
a20	0.432740104542	0.021403540676	0.0397063498707	0.01019889948	0.1466376804	0.34931346064
a31	0.244730042086	0.0532887928367	0.0650904808387	0.03439510904	0.22295485394	0.37954071828
a8	0.0613788097625	0.0146370607749	0.168802692889	0.06274048192	0.2745092292	0.417931702704
a31	0.0544205642283	0.0504963492275	0.0241413353803	0.158087136904	0.3608486	0.3520059884
a46	0.029845658293	0.0102388046575	0.162437996296	0.08871189624	0.309103718	0.3996619298
a8	0.0539842916964	0.138731080227	0.0235597351324	0.0927080812254	0.3162671868	0.37474961706
</S>	0.0609768817216	0.112788702099	0.0548825717839	0.0782403895434	0.25645010568	0.4366613866
