 	un	forno	che	fa	buon	pane	</S>
a31	0.166024522044	0.156080420472	0.141514500704	0.117985865501	0.31044044157	0.0704635288852	0.0374907337932
a20	0.305039861171	0.160890923989	0.03496865648	0.0784711424332	0.331577270458	0.07514660374	0.0139055523203
a28	0.0409926916529	0.366466546174	0.1267029777	0.0158061614927	0.191142969431	0.174804685754	0.0840839792945
a31	0.0940336948416	0.220131961175	0.061216685584	0.122317690079	0.23100852124	0.193479470507	0.0778119830297
a18	0.172420202536	0.295480343431	0.0747346446223	0.0101517955184	0.343771879599	0.0993976830501	0.00404342705198
a13	0.268256383704	0.204893676064	0.062497645968	0.0497543515816	0.201332443061	0.0959381813624	0.117327391482
a39	0.27127103041	0.0974874904188	0.068670487122	0.0694103204943	0.208113529891	0.170526716827	0.114520391579
a20	0.364304346775	0.152872875641	0.0388561145648	0.0270087036033	0.028515295798	0.1043794373	0.284063179263
a31	0.371017275717	0.159014078384	0.0383384943048	0.0233291772513	0.0087413379954	0.11119616324	0.28836344391
a20	0.412356929073	0.0188461834066	0.101033703675	0.0536804279258	0.0660659832766	0.140178661726	0.207838140412
a39	0.149479280609	0.27710418442	0.0388434888406	0.0302223729306	0.0252432816794	0.2111223678	0.26798502604
a18	0.160305754283	0.18902409083	0.0283016941434	0.0202548762049	0.028927523148	0.25328566424	0.319900409164
a39	0.178482704609	0.248552596121	0.0360210171447	0.0205047331037	0.016368495411	0.195854781148	0.304215648795
a46	0.126299207922	0.274528542227	0.0277882115472	0.0158792586071	0.0237891472446	0.201284267666	0.330431365376
a38	0.163429995231	0.199003195475	0.0631928335303	0.0296625033296	0.0425028540268	0.1882304018	0.313978235314
a39	0.125108639314	0.247742770411	0.0476549396244	0.0162254734102	0.024896882866	0.18693237	0.351438923396
a31	0.144057075162	0.260196501389	0.0397775617707	0.0206711827439	0.047874009144	0.1823794846	0.305044183359
a18	0.207963616001	0.237763640861	0.0363088078261	0.0354724822663	0.052758124574	0.0994569706	0.330276374035
a31	0.0368716053893	0.329819036517	0.0495715002404	0.0272955023804	0.04985041292	0.2199848555	0.286607112898
a41	0.139960543094	0.219340083142	0.0226946557322	0.00656640544138	0.02812933545	0.12821791446	0.455091032532
a35	0.0385571331325	0.322740932941	0.0512242834755	0.0305946644186	0.0421444023	0.21763470482	0.297103873952
a31	0.0728579484742	0.155449464416	0.0297023021049	0.0234388685162	0.11170464323	0.2513203468	0.35552644036
a28	0.108289272108	0.241429859864	0.0317159907915	0.0264827345608	0.056413943642	0.1470918938	0.3885762925
a27	0.0355852408891	0.294913588044	0.047221229366	0.0312336325694	0.048748867505	0.24687808619	0.29541935337
a13	0.070148071327	0.254024465751	0.0408438165327	0.0243355644653	0.0656729177804	0.22450216708	0.320473003552
a46	0.0307159264866	0.277533888604	0.0389732579579	0.0256516883596	0.053177863644	0.24852726884	0.32542008116
a24	0.118612944124	0.139388937772	0.0760652661817	0.0258921086243	0.02995891072	0.2508401578	0.35924166091
a39	0.08251707121	0.22234530798	0.038442372686	0.0241180528631	0.0176541379083	0.1346896226	0.480233434974
a31	0.100815817549	0.18500952451	0.0373517830616	0.0245100995042	0.0317545503938	0.204792884423	0.41576536944
a11	0.135599983092	0.216745854146	0.032049615688	0.00907845616004	0.0250334423199	0.142067599457	0.43942505844
a31	0.0262712723517	0.244162577892	0.0417801748816	0.0769965637894	0.0518899369802	0.266427622895	0.2924718671
a21	0.144600934911	0.171744068998	0.0367729685608	0.00395943120002	0.0166064590612	0.138584557751	0.4877315788
</S>	0.0235347929247	0.206160003658	0.03243495352	0.0993984897027	0.079109723411	0.274146317018	0.2852157091
