 	non	mi	aspetti	che	non	vengo	</S>
a8	0.0371578241205	0.254200575122	0.180698151099	0.13480886844	0.0937999908	0.192504223236	0.106830395828
a31	0.0052074423652	0.0409147236	0.30288570836	0.081387138848	0.115017623764	0.372230053256	0.0823572857818
a24	0.000236007351343	0.00993822687498	0.371481045365	0.240416737786	0.116131340092	0.217915388325	0.0438812523379
a31	0.0186109630597	0.0870971749757	0.376206434046	0.116322723676	0.0927182564196	0.287877531773	0.0211668988359
a36	0.00653103725486	0.0475652451071	0.431839504879	0.130500675718	0.09826462834	0.254994566421	0.0303043190393
a31	0.0165847013728	0.024208367171	0.199401676922	0.0268812717447	0.186517279852	0.53265887526	0.013747846126
a39	0.0743758761571	0.0496065322306	0.349703270794	0.015619704634	0.06159365946	0.377246715124	0.0718542450261
a8	0.0147373881461	0.0272540826618	0.034750416677	0.0186104053243	0.071330016632	0.782586866	0.0507308209196
a31	0.0117319887743	0.0163947828656	0.0770316517245	0.0675911773728	0.043115796046	0.705808014	0.0783265696
a29	0.00749147196395	0.0157166121495	0.200972992083	0.102441618522	0.017162218254	0.3494215378	0.306793559026
a31	0.00882170890135	0.0363674955088	0.0426499235466	0.0356034238408	0.02922071564	0.661403486	0.185933285494
a17	0.00180275600625	0.00912294347886	0.159660272212	0.057065546829	0.013869488284	0.3022345086	0.456244499896
</S>	0.00347819302964	0.0221307023547	0.0321867001677	0.0160868330989	0.0216854718892	0.580510764	0.3239213412
