 	la	donna	pulisce	la	casa	l	uomo	no	</S>
a23	0.0329443533505	0.109263119738	0.004498578988	0.00968675976	0.18540937524	0.0380389583186	0.314503577367	0.287091531076	0.0185637393502
a31	0.0392538351372	0.022466470855	0.0296917416586	0.0815603467688	0.1624996596	0.0897552546399	0.293933032307	0.2357746342	0.0450649753353
a24	0.0122802851793	0.00400252166118	0.09642821199	0.0733318045643	0.18815461492	0.0709426737086	0.319304618056	0.213814063036	0.0217411733159
a31	0.202810848426	0.0243128342624	0.0677228423808	0.057411720176	0.0572321816884	0.128428427565	0.1285296168	0.30646699128	0.0270845164023
a35	0.0249990119719	0.0103556067988	0.064328879399	0.116395457444	0.0530566997605	0.186412117125	0.326492077171	0.2145943253	0.0033658255381
a28	0.167864953944	0.00270946919404	0.0186243246481	0.117748483782	0.0803632197802	0.160131895094	0.0653346306126	0.31221731379	0.0750056966961
a37	0.292541260415	0.00184267006501	0.0068758467168	0.067650653059	0.058174277391	0.145694274505	0.082242347699	0.288251882741	0.0567267429221
a39	0.151248218779	0.00187592337017	0.0648799027303	0.054916514121	0.0717812000243	0.11985332601	0.124432028886	0.324776831346	0.0862360892267
a20	0.0463224164121	0.00578996313562	0.125324594559	0.0317235008552	0.0592003096839	0.0906719268662	0.120946878071	0.351431376236	0.168589021541
a31	0.0345999911601	0.0121559665336	0.131741516773	0.0215784517273	0.055698593112	0.0918995701946	0.122526635598	0.308424630934	0.221374643768
a44	0.0376400954681	0.00097338157673	0.0830774290482	0.0518705837899	0.107814854142	0.0371980160381	0.322371789649	0.30477969748	0.0542741447
a31	0.0298684756854	0.0840124545125	0.0473440473949	0.0281292741226	0.0482518034634	0.0505815595006	0.110392243846	0.3079222482	0.29349787702
a34	0.144654531874	0.00432835676453	0.0512005531578	0.018938038627	0.0450098166225	0.0258575537906	0.327680161657	0.27543306722	0.1068979268
a31	0.00923542076114	0.0137374497231	0.163263724723	0.0157827478962	0.082899461668	0.027667457452	0.222807326041	0.3175570024	0.14704937976
a18	0.0166047910049	0.0105230626269	0.140625801247	0.0273656449828	0.0850793580152	0.02891557328	0.298121487456	0.154895229614	0.237869045
a31	0.0272190500436	0.102109168505	0.0572125140812	0.0295649097395	0.0702266914796	0.0691194473456	0.185342123626	0.10679877666	0.352407287
a18	0.171952292873	0.0384417575961	0.044063597646	0.031280072044	0.035717757588	0.0155283490068	0.186912664328	0.08687833124	0.38922518194
a7	0.0235861083747	0.184597709691	0.0576979937579	0.0270238619451	0.0374521907639	0.0342032621178	0.149416741326	0.08158770952	0.4044343988
a17	0.0931262830803	0.104718184015	0.0737709462692	0.0409411782388	0.0396349630686	0.0352964011204	0.09984298946	0.12803021306	0.3846388378
a31	0.0300367350389	0.151705803861	0.0660213202937	0.036189252191	0.0434358173939	0.0492615925663	0.072273186	0.09198885864	0.45908742934
a24	0.194021091115	0.0325520727225	0.0286056549216	0.03882762962	0.038486210632	0.0151934251326	0.13245954346	0.0870877334	0.43276663594
a31	0.025956334754	0.187592927923	0.0539635572836	0.0264069083496	0.0309113368208	0.038272845842	0.0489516582	0.139600514896	0.4483439135
a43	0.196395355139	0.0365378080235	0.0284956126346	0.0379222990108	0.0346927120072	0.0148353937742	0.09647024239	0.10953373068	0.44511683146
a39	0.0368822257003	0.124025005876	0.0736016290428	0.0308247945162	0.0570521982653	0.05186522172	0.1776652728	0.0960743171	0.35200932346
a31	0.0243933491688	0.108503693492	0.0596008581127	0.0484243410648	0.0507376295684	0.0511686518486	0.12656498076	0.14211841798	0.3884880606
</S>	0.0616253290899	0.0279273639521	0.073099809675	0.0255929787859	0.031013771472	0.0169737258678	0.089253279	0.14830754402	0.526206188
