 	vuole	pianto	</S>
a39	0.423907850722	0.568346829374	0.0077453162606
a31	0.34871772666	0.5880356004	0.063246659994
a41	0.41164083814	0.52726176984	0.0610974111657
a31	0.28897848369	0.6947886508	0.0162328889902
a37	0.29306655328	0.6975238576	0.00940957737
a11	0.315145450706	0.5078729746	0.17698160882
a39	0.165411670843	0.65949008	0.17509824394
a31	0.0594821850387	0.6090329652	0.331484855
a46	0.00932838505772	0.6165034332	0.3741681859
a31	0.098608457698	0.4506305904	0.450760958
</S>	0.0109257284516	0.454190513	0.5348837569
