 	vengono	vestiti	dai	genitori	</S>
a31	0.0091590000794	0.068879443655	0.7317420852	0.18889480745	0.00132465865589
a46	0.000150272810628	0.00103023259604	0.992883084	0.0059216560286	1.47312442794e-05
a18	0.0514326633304	0.0223777988978	0.730392	0.193934424633	0.00186313604402
a31	0.0810819717436	0.02380566559	0.703249148	0.18735464825	0.0045086022525
a11	0.00423042824974	0.00246881299	0.984218018	0.008628926236	0.00045377736462
a31	0.093370643225	0.15094608664	0.5741587666	0.1783200493	0.0032044869812
a39	0.00858732996652	0.02761743799	0.88066841	0.078592815608	0.0045340104432
a31	0.0859082081334	0.112866495302	0.4955239122	0.28007655058	0.0256248295532
a35	0.00132029520541	0.154647122891	0.6737816554	0.07479539346	0.0954555358954
a31	0.0629181670394	0.108273678994	0.378294004	0.41023572926	0.040278420234
a18	0.00247660552784	0.263068951058	0.545338976	0.10830716646	0.080808290568
a0	0.0948663067061	0.12907206948	0.22695961152	0.514236884	0.03486514166
a31	0.0460613306711	0.137691759134	0.371306297	0.3899512484	0.05498938874
a37	0.00915574160001	0.217856919242	0.4205705204	0.10297770364	0.249439154036
a20	0.236476550492	0.0782499459184	0.07575132432	0.4775198206	0.13200235836
a31	0.192389640622	0.0457916592509	0.22008231712	0.455955788	0.0857805664
a41	0.031106866186	0.0751900041785	0.41694508236	0.1300545264	0.34670353346
a20	0.25050697559	0.0572321140075	0.084224268134	0.4524588722	0.1555777896
a31	0.206823772205	0.0267587536083	0.134610109403	0.392033667	0.2397736828
a20	0.0377790215206	0.0639028680388	0.276369242756	0.1920728319	0.4298760108
a39	0.257022661892	0.0543409258382	0.0571445414366	0.4148974276	0.2165944884
a46	0.214176596509	0.0227865183962	0.110832965577	0.3981421822	0.2540616706
a41	0.178600452451	0.0884275574762	0.0770284212636	0.4142072266	0.2417363168
</S>	0.172427895317	0.0233600152245	0.081110311602	0.4129727358	0.310129041
