 	che	consuma	poco	benzina	</S>
a31	0.0217501645065	0.0750881574	0.266482974038	0.462300219569	0.174378524637
a41	0.0196022077312	0.4167857562	0.323654111895	0.219570006643	0.0203878305416
a31	0.127718650867	0.30701653502	0.348711181099	0.207889032668	0.0086645829879
a28	0.0537882916024	0.523051390648	0.139818616329	0.274971502599	0.00837023075841
a24	0.332104084468	0.273268222456	0.0573019913272	0.332267827256	0.0050578497342
a31	0.309927893886	0.213701377	0.146212992542	0.321726374132	0.008431392736
a11	0.224297653637	0.06430546226	0.227868381804	0.449884021232	0.033644459556
a31	0.177342240281	0.18010129671	0.117417165566	0.456435384478	0.06870393268
a46	0.00285607532606	0.0997455524224	0.141499746896	0.43506653627	0.32083210536
a31	0.0401760959928	0.121339575119	0.0823432462633	0.536486946988	0.219654142
</S>	0.02660464854	0.186128873045	0.0146393726963	0.497426721836	0.27520040186
