 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.00939750711768	0.0375775486424	0.096584760076	0.314964834128	0.414970434	0.09119120742	0.0353136862739
a20	0.00191863989912	0.200292893503	0.0048464403546	0.220228153023	0.331274117162	0.23953393385	0.00190579363317
a31	0.013330864834	0.200109703497	0.05525557594	0.362899134414	0.0706843692181	0.276414000712	0.0213063910971
a37	0.00197189011007	0.200819355361	0.0138734219	0.359730828648	0.124826265986	0.298264017279	0.00051424278616
a31	0.0980346293191	0.210151351141	0.059393524754	0.24592195061	0.121034584556	0.211129410915	0.0543345513941
a30	0.00841470786517	0.222058761633	0.00222756715312	0.224347431183	0.08797438442	0.453983830885	0.000993332391976
a13	0.101993414754	0.27794042212	0.05017941328	0.14835682928	0.14347630254	0.23178039252	0.046273249757
a20	0.0374555315932	0.195648381155	0.091445978282	0.25022743811	0.050622640542	0.293490419	0.0811095961996
a41	0.0219861843125	0.154025101729	0.056332385105	0.336721708712	0.01215680627	0.2958926116	0.122885219691
a33	0.0279503706006	0.254870347504	0.0409565974864	0.15413374288	0.01033310834	0.3562972602	0.155458564746
a31	0.0175661893163	0.178157796786	0.0486074593613	0.083984520256	0.0190880141	0.482210552	0.17038551238
a41	0.00553785226461	0.337714634641	0.162215949879	0.048126312487	0.018481108628	0.32298725664	0.104936883814
a0	0.101068445472	0.279044768753	0.0429062259948	0.0431315332087	0.037945449826	0.287354422	0.20854914642
a31	0.0436385478934	0.301470698554	0.0360556006464	0.0133645123532	0.061874968174	0.2765522912	0.26704340042
a24	0.00813180214025	0.269547185596	0.0528922360422	0.0806097349105	0.040769953488	0.30065999	0.2473891264
a31	0.0960722872721	0.145382863942	0.03644778075	0.0115179776099	0.0534128549278	0.309317088	0.34784911142
a20	0.027756878756	0.161419701374	0.0159025205753	0.0290257435914	0.0378444130131	0.3667698798	0.36128084446
</S>	0.0669474800675	0.126498860355	0.0361505270277	0.00712845616516	0.0528864444876	0.325028246	0.3853599867
