 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.348744614334	0.0476155896283	0.00485869509696	0.00210728920668	0.0426157384942	0.19605838103	0.0772982816319	0.280701391403
a31	0.0368755473992	0.252496326109	0.213142031622	0.190873128222	0.00602921118837	0.0217280533645	0.133222423412	0.145633276904
a29	0.193371144319	0.201257832184	0.0125862426229	0.0853871129617	0.00288233778219	0.159016949206	0.155527972169	0.189970410407
a46	0.20428475195	0.201767476594	0.002907498282	0.0203046914551	0.099042125784	0.132345462293	0.0748578228353	0.26449016008
a11	0.0191156346781	0.204767876507	0.195547649407	0.0300628427848	0.0280985348386	0.134951644968	0.122928114236	0.264527698053
a20	0.353246871933	0.183995949523	0.0139129449259	0.015857197758	0.0172497687123	0.0267881095554	0.0618808367839	0.327068321538
a8	0.3094224787	0.124297382245	0.110287769902	0.00824624682428	0.0239768315795	0.0281566078766	0.0654187337685	0.330193923185
a31	0.245050395009	0.0652732919943	0.109536568444	0.00649830282584	0.0422326592691	0.0310517998574	0.167312157306	0.333044855944
a38	0.392010878822	0.0133169268471	0.0717283459566	0.0624996194967	0.0414252707516	0.134024561131	0.0963624064703	0.188631983761
a31	0.213722355772	0.0687243588854	0.175298190725	0.014744762448	0.0394209110998	0.0168726270596	0.232591739419	0.238625034599
a24	0.356823962142	0.0442623451781	0.050780571888	0.0591412291779	0.0207776307284	0.187819086588	0.12571584944	0.154679337815
a37	0.1970284238	0.157585282605	0.130975390158	0.0107737759473	0.053795231319	0.0254486683584	0.106436899646	0.317956352608
a15	0.152228769571	0.193954002086	0.0852244695131	0.0204261610158	0.0511233316971	0.0228196942082	0.17101526556	0.30320830089
a31	0.198153183923	0.196425108474	0.0646186468485	0.0124175495077	0.0367470376579	0.0308190985245	0.22816048404	0.232658897269
a20	0.279898812849	0.0988838960427	0.0799604275888	0.0534805155512	0.0243669177827	0.177250685431	0.0520305339888	0.234128283687
a31	0.066267613161	0.163432490328	0.0581781729839	0.0221911722139	0.143570149206	0.0279275267416	0.2651920892	0.253240782742
a37	0.317797781882	0.0723875486319	0.0356133010142	0.0209763208638	0.0370071091534	0.202050011207	0.07161555686	0.242552394466
a46	0.180525602416	0.0538588643442	0.10501692056	0.0201113442297	0.098841262442	0.0230005583474	0.1902772646	0.328368152194
a20	0.251830014413	0.0846778926072	0.0263205017542	0.049686731868	0.0816993647534	0.0286827549969	0.1238309434	0.353271761054
a24	0.236020595576	0.109049615681	0.030752947711	0.0133044671053	0.0778361548469	0.0423726333766	0.1335514234	0.357112203662
a31	0.238247572605	0.143951885234	0.0285810950868	0.0142016805506	0.0619936999863	0.0280666064722	0.13381105777	0.351146405606
a17	0.237295914398	0.106303362652	0.0880580621624	0.0177604110719	0.0280905195139	0.159857714498	0.039912729742	0.322721278064
a20	0.206882778778	0.0514742616503	0.0292989630385	0.0309076356408	0.179217551699	0.0253438942679	0.1158403024	0.36103460144
a38	0.321296702105	0.0572818819042	0.0366201706946	0.0257603166344	0.0302809611408	0.0317212903807	0.112812319	0.3842263514
a31	0.21880652428	0.0702309020102	0.0223023922786	0.0257568190373	0.111223428663	0.0363397249525	0.1430856915	0.37225452026
a17	0.170972277127	0.145997841534	0.0411678866943	0.022666805604	0.0243926628646	0.157198676588	0.06918023004	0.3684236246
a31	0.197254961402	0.0327466181502	0.0173090089306	0.0322440067693	0.196606705538	0.0194945528873	0.1389208006	0.36542334032
a37	0.217109782936	0.129658239948	0.0166344247912	0.0160662641485	0.0161278599635	0.13959953909	0.08852380856	0.3762800566
</S>	0.17273479133	0.0207625926232	0.0123459842384	0.0241748577048	0.240671497176	0.0158826387099	0.1509987413	0.36242891556
