 	non	aveva	da	stare	</S>
a37	0.503527762995	0.004933057304	0.11429900166	0.212809696046	0.16443049494
a38	0.37470024	0.0475639264295	0.059857563	0.170582844	0.34729543808
a24	0.31207690042	0.139212310714	0.09679577816	0.17038325238	0.281531778563
a8	0.115196341	0.155798982624	0.02856739207	0.34577194764	0.354665329062
a17	0.344757451075	0.0928104060129	0.057580194	0.1669565566	0.33789532181
a31	0.312324914445	0.0283544637391	0.025063322486	0.26784476366	0.36641250698
a20	0.451041171331	0.0275963091861	0.05457770556	0.19141242126	0.27537240892
a8	0.109267656296	0.0986615859641	0.05252804308	0.3708772215	0.36866550346
a31	0.0133722199662	0.0253992506442	0.0981180802858	0.39461218472	0.46849825404
a20	0.201317945364	0.00671104226801	0.094437823616	0.28913721368	0.40839598902
a31	0.0721116233571	0.0627037712701	0.181747755804	0.319547238924	0.363889625
a8	0.163105237715	0.0156635901245	0.215400325023	0.28168422461	0.324146628
a31	0.0693635342332	0.147700935222	0.150939212322	0.277356213308	0.3546400908
</S>	0.18357842424	0.0130247892083	0.202593517013	0.213665718788	0.387137498
