 	non	aveva	cosa	a	fare	</S>
a31	0.306396681682	0.0017738230378	0.171804348568	0.3452913138	0.07664490214	0.0980889543846
a18	0.202061518999	0.0578411094007	0.266155893218	0.09919176654	0.27596283486	0.098786855424
a24	0.275189897386	0.0393008615347	0.12078289798	0.14803556265	0.17320478508	0.243485993896
a20	0.344182897718	0.0201827092467	0.0454935428514	0.0452318465	0.1710191208	0.373889873033
a31	0.257624800378	0.0156065484182	0.048740617928	0.106786174179	0.2453803992	0.3258614812
a18	0.424055404106	0.00593937799224	0.0117247469638	0.201665592432	0.25473643116	0.10187842184
a31	0.135229849145	0.0211566144052	0.0370010512526	0.24604726156	0.3545159772	0.20604923604
a17	0.271847099062	0.00432237162496	0.0278056296196	0.06157834186	0.398542618	0.2359039338
a20	0.162202795667	0.0293745744451	0.0439255779961	0.085407474962	0.32648765	0.35260192018
a31	0.128265260079	0.011589736346	0.0363317187153	0.080069040586	0.36172513828	0.382019122
</S>	0.066770729669	0.0020701917001	0.0121673324542	0.0360291645235	0.331091915686	0.5518706912
