 	è	pericoloso	di	nuotare	di	notte	</S>
a37	0.0541588740672	0.111366821262	0.11072197932	0.32405634408	0.068511137	0.230941108888	0.10024373855
a31	0.0119192361432	0.19372404084	0.0705101914	0.34882247546	0.102546298234	0.261958396644	0.010519366564
a7	0.00195077097519	0.201230649618	0.0264431002004	0.373864963104	0.0804098654694	0.281477953067	0.0346227071791
a31	0.0130359000516	0.193564571546	0.0465227122	0.42723481354	0.0769613321486	0.230270695797	0.0124099482879
a20	0.0167803839457	0.201129106929	0.0265592421646	0.265343728427	0.089403810914	0.398185363408	0.00259833358388
a2	0.0430574816057	0.384094752704	0.0101310501445	0.146352548296	0.0146982538	0.3746367514	0.0270291731758
a41	0.00207808820815	0.387949997455	0.00859663454629	0.198796196542	0.0021323497888	0.399270544821	0.0011761816069
a20	0.0466585667275	0.321068103928	0.031731638829	0.134321158245	0.0168661651348	0.36972904594	0.079625321724
a46	0.0191223367644	0.207255434421	0.0685877489179	0.214306424477	0.0260303771086	0.351074578	0.1136231086
a31	0.016325520326	0.230848775246	0.0846763882282	0.0788967950173	0.0301008457707	0.4160134148	0.14313826526
a11	0.0019604099456	0.300968332405	0.188253950532	0.0388670625948	0.00949520210416	0.370199073	0.0902559739274
a35	0.0555448683689	0.30886280154	0.0327950642004	0.0677632183734	0.0373533387526	0.273500784	0.22417995624
a31	0.0218793758731	0.321753664234	0.0499895696033	0.0280807751218	0.0243561365916	0.326020342	0.22792017698
a11	0.00862431968422	0.177345599544	0.137719106167	0.0911036016917	0.01636328841	0.3257571548	0.24308692586
a28	0.073206490895	0.207020556655	0.0483922881476	0.0187725745595	0.0372961385412	0.31626686	0.2990451052
a20	0.0643698639365	0.17671240857	0.0332687534769	0.0151446888132	0.0290949723285	0.336724506	0.34468478372
a10	0.0465966408945	0.147979452574	0.0220713978835	0.0247095213229	0.0287786650701	0.3819986286	0.34786569112
a31	0.0279109840269	0.157562654088	0.0170721602568	0.0130994332878	0.0234291978074	0.3917171666	0.36920844412
</S>	0.0230564018608	0.203349512233	0.0107025238059	0.0509374687404	0.0137368703219	0.2655542008	0.4326630356
