 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.058564099271	0.329705842869	0.0257745599957	0.0591476472808	0.201576215817	0.0375197304331	0.109554533094	0.178157411066
a27	0.0083883779616	0.467466066612	0.06891614792	0.01949826261	0.0408557479756	0.08377368973	0.202181269	0.108920451575
a8	0.0077061915978	0.38766881012	0.088288606004	0.0226921665302	0.034090922836	0.118386551141	0.239953501571	0.101213302159
a28	0.0137209237826	0.229113627208	0.15816937552	0.012347666108	0.134462333199	0.10348754982	0.239509722998	0.109188803189
a31	0.0245849530521	0.422389387299	0.05847800038	0.0286093796346	0.0800240359772	0.0884491489244	0.190247983283	0.107217073502
a24	0.018561557818	0.42774979307	0.0516138955258	0.0473580276747	0.0311900473431	0.0644604395049	0.246146673557	0.112919576466
a31	0.177876693735	0.163260723031	0.21445770983	0.0124769192409	0.0224988505955	0.122078951594	0.08050588946	0.206844287441
a10	0.0512438694171	0.454351877289	0.0113867379843	0.00469489634779	0.0134463769851	0.0366059409054	0.288178747281	0.140091524935
a20	0.227862791691	0.0689349790907	0.154464027448	0.0206511061914	0.064412595568	0.117818976353	0.1486218826	0.19723367053
a31	0.156213193031	0.085183650234	0.0769977006396	0.0269011598252	0.0964263923104	0.107805435211	0.22405399	0.2264184876
a39	0.0376628748215	0.301892658603	0.0203273514997	0.0153553411452	0.0272623579398	0.0603333811882	0.300058924069	0.237107087954
a31	0.0664839827942	0.115429797502	0.0622269170297	0.0373962452802	0.120276761325	0.160792854074	0.2277942506	0.20959920356
a18	0.0115242618453	0.231752428305	0.0127561932313	0.0112975861755	0.0158319302678	0.0404043035939	0.36185307038	0.314580272614
a31	0.0341096910127	0.0301797554991	0.0294716695582	0.048489576963	0.143492077436	0.162795245256	0.2399409638	0.31152101029
a17	0.00435882209609	0.11909046366	0.0663036036561	0.0136671469286	0.0419376683903	0.0405494998438	0.4090748394	0.30501796244
a31	0.0171306219796	0.0226799815451	0.0297406164941	0.0875801641639	0.127629799309	0.137771646951	0.2369924784	0.34047468812
a8	0.0347878677757	0.0565219985809	0.0630571759172	0.0238354396007	0.0667478497217	0.024272780742	0.370647652	0.36012927244
</S>	0.0202510315674	0.0224680997566	0.0183251879251	0.134637516222	0.0415490092109	0.0701310350808	0.2971994696	0.39543869128
