 	il	muro	vuole	uno	specchio	</S>
a23	0.316301464297	0.108437278458	0.178117622701	0.114339315327	0.213010151162	0.0697941776412
a20	0.3754139506	0.0588898018	0.059366454844	0.131092280277	0.296975338276	0.078262191064
a31	0.291199857632	0.2113497894	0.25783408946	0.127055913208	0.079038074094	0.0335223062911
a24	0.311887202415	0.136087713531	0.311928896854	0.151531710027	0.07775929861	0.0108051633827
a31	0.411501885856	0.178106686273	0.0082635191518	0.0191847735503	0.1863645138	0.19657861172
a13	0.49935773816	0.0879218242476	0.051883469316	0.211627710556	0.10443376004	0.0447755599851
a39	0.391237085315	0.147029823933	0.0195325222412	0.018133354852	0.3469218738	0.0771453603564
a20	0.327369980316	0.207361655072	0.00725782472262	0.009032237788	0.380528438	0.06844984658
a31	0.0764336265565	0.196483571585	0.0287010938264	0.075845167697	0.505159964	0.1173765836
a24	0.139844271723	0.276650687462	0.0191993187708	0.0952811120569	0.39720577806	0.071818829524
a8	0.0380176938488	0.172148227299	0.02385621323	0.0890084717689	0.479556194	0.19741321946
a31	0.0168505976976	0.0528824878258	0.0328370307664	0.0914544370625	0.72354515	0.0824302724
a20	0.0477145009984	0.152980330304	0.00399153812278	0.122831150139	0.28799567288	0.384486807328
a31	0.0306079451595	0.102626640578	0.0368626809301	0.0799837813264	0.646373824	0.1035450792
a29	0.0340057400663	0.165266930038	0.00256961920343	0.172349614007	0.2926471479	0.33316092458
a31	0.0341906344726	0.159690856887	0.0401585630859	0.0872572107995	0.5319961548	0.1467065762
a8	0.048033859763	0.132446641525	0.00588634711149	0.124539740583	0.3089723026	0.380121106
a20	0.0173771863341	0.116998025712	0.0628693689743	0.0811134605843	0.4797113692	0.2419305648
</S>	0.00934284649042	0.127236366	0.077946440328	0.0667682860302	0.4605894308	0.2581166316
