 	non	deve	magniare	la	sera	</S>
a20	0.557980570476	0.00047947552857	0.00200195512794	0.0593841816	0.0304064398897	0.349747399046
a31	0.078248772144	0.0656008962383	0.382472518772	0.136050317188	0.205111683546	0.132515797712
a18	0.0460238066374	0.00135223478462	0.200096018076	0.18167404578	0.167274095249	0.40357984065
a37	0.572989725005	0.0164275802813	0.000936118533372	0.0191985780463	0.123025652819	0.267422298159
a18	0.565460386007	0.0121965554716	0.00332123684615	0.03938448988	0.0923112045718	0.287326160785
a31	0.272112422029	0.0199764754743	0.0166983845394	0.220379419596	0.280781685198	0.19005159162
a13	0.453699909941	0.00417225728445	0.00223608959226	0.359409932	0.06889804908	0.111583711466
a31	0.06778755278	0.00992056096299	0.0100969051878	0.3337488006	0.386433635	0.192012532
a17	0.23583568008	0.0124792619086	0.00630750477459	0.3489423112	0.254566925	0.1418682982
</S>	0.00497396643581	0.0308806462302	0.0199793871809	0.11463658508	0.524498564	0.3050308812
