 	non	ho	dove	d	andare	</S>
a20	0.0186692769394	0.024425953086	0.55455688492	0.195108714281	0.203144515156	0.00409469128459
a31	0.016121179746	0.227679520295	0.4107104218	0.0773003449916	0.2595662914	0.00862219688
a37	0.0328881403347	0.1790502489	0.348278090304	0.0384873018122	0.38786486509	0.013431372086
a31	0.195757108146	0.043537822805	0.27318646884	0.14983495638	0.334761625936	0.00292204866922
a29	0.125994621636	0.0396154189874	0.392812083187	0.0083106246124	0.424126666392	0.00914062636939
a41	0.359170895494	0.0330641682212	0.0130949812872	0.199494435862	0.3933877196	0.00178781341908
a31	0.244813089067	0.0705315298489	0.0279829292773	0.17060571844	0.483272604	0.00279414261
a18	0.150515987481	0.0454717162087	0.310845183908	0.024481999426	0.4421345934	0.026550541112
a31	0.0148872988098	0.0265946587096	0.0242826809742	0.238151173536	0.66359739	0.0324867656
a39	0.0281774031994	0.0333090065656	0.23745173059	0.1838764185	0.4303306624	0.08685475796
a31	0.00887040374766	0.074219711645	0.0228910710618	0.277554510277	0.504767048	0.1116972645
a8	0.00642252306154	0.00858522257064	0.145628293576	0.24047027546	0.4091506112	0.1897430843
a31	0.0141416204752	0.0896031548689	0.018288393463	0.294538881168	0.4030407552	0.1803872178
a8	0.0185278484841	0.0354214808104	0.102762335398	0.15141759411	0.3815831248	0.31028761646
</S>	0.0132279741316	0.163040872451	0.00952803722191	0.141166153138	0.4305028026	0.24253415
