 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.0341419898136	0.172468178837	0.403922144069	0.0297839596028	0.0098913764698	0.161218988486	0.188573395004
a31	0.145916551393	0.222334250355	0.05590515332	0.167300989205	0.158242077994	0.239041761233	0.0112592616485
a11	0.095091113283	0.208469455858	0.0983734365591	0.141762214168	0.217021807746	0.205962326801	0.033319638757
a21	0.0344200108825	0.29518669104	0.264641798548	0.10456638488	0.109111576468	0.154052745351	0.0380207578251
a31	0.1293464336	0.15777616027	0.0360935026	0.284362562366	0.217718895954	0.145080695704	0.0296217506483
a20	0.30214145827	0.084015930777	0.166563447573	0.0155802001006	0.0890043967269	0.30696463484	0.0357299341131
a31	0.28379462736	0.0216013050058	0.0220316275325	0.195863329006	0.26300901558	0.14807282402	0.06562731242
a10	0.163791218218	0.0259414372716	0.192788126303	0.0130338249572	0.157498054817	0.4087480854	0.0381992826468
a31	0.1059634984	0.114406883095	0.0489366069131	0.12536139442	0.3443958364	0.1618659968	0.09906975636
a21	0.118160008912	0.0230224591032	0.202776867931	0.0620571192805	0.0708931383164	0.3345802686	0.188510118742
a11	0.090470490896	0.189419046584	0.059224787958	0.110486368083	0.09582168496	0.2274860072	0.22709159132
a3	0.217016840605	0.0712224177834	0.0729472571988	0.0902434573	0.03456045156	0.2673230278	0.24668656434
a33	0.067453288452	0.165890817252	0.101606216794	0.0460640180887	0.02377366865	0.24220069586	0.35301127448
</S>	0.035448237082	0.064497279364	0.0492103501484	0.0723334065262	0.107042192812	0.2556994174	0.4157691066
