 	forse	non	li	ha	a	casa	</S>
a28	0.371095531663	0.208589829279	0.0386502864378	0.0021788491506	0.060894588386	0.197005763238	0.121585098242
a10	0.2684087811	0.15020313512	0.0397849798796	0.0174069519548	0.183960480248	0.3283405576	0.0118951119002
a31	0.109257509466	0.152211937793	0.185600201292	0.0054902333768	0.195680110959	0.343016880626	0.00874311549672
a21	0.183813589815	0.179553177257	0.0724904743418	0.0994644245338	0.213053476899	0.238334988705	0.0132899012
a37	0.265001937954	0.190145419409	0.0790448237774	0.0125151746098	0.177143029732	0.27083170501	0.0053179266885
a31	0.283387131046	0.095000821663	0.131219248447	0.0222829252935	0.197462767074	0.267583084013	0.00306399824408
a37	0.420755470081	0.132314499522	0.00919176685972	0.011830722917	0.19838839511	0.216724727154	0.0107944185437
a31	0.24624600035	0.052699697175	0.136548525526	0.0223826358204	0.1570666351	0.383215286789	0.00184122235286
a37	0.427807756015	0.0446433175574	0.0201265170265	0.0270194345313	0.034613664044	0.438085606101	0.007703658935
a31	0.135463245961	0.0775579523084	0.153152767434	0.031777974489	0.06160624898	0.529285986304	0.011155832234
a21	0.300783430007	0.0393841425587	0.0584225708468	0.0289620965199	0.03459424126	0.466439571085	0.071413908486
a31	0.0296386420731	0.0401019058723	0.119834651292	0.152414483861	0.07201576999	0.540527502372	0.045467021032
a20	0.200512574022	0.0682119958265	0.106239080264	0.0270131944133	0.04523890718	0.38649165292	0.166292594628
a31	0.0338693270654	0.0537495657982	0.142518261405	0.100960528665	0.055987638998	0.422596695196	0.190317977694
a37	0.185604665917	0.0681207536404	0.0725824753135	0.037159068142	0.038963335848	0.3702254874	0.22734418646
a33	0.0581888073116	0.0484311632125	0.199458098248	0.0543257195133	0.0535300551992	0.35572029748	0.2303458888
</S>	0.0838432936161	0.101332103693	0.156515989554	0.0503073636628	0.060108962731	0.2476860152	0.3002062806
