 	le	canzone	si	scrivono	alla	notte	</S>
a20	0.40292361459	0.184574918168	0.00563089486	0.198034782202	0.0265348036968	0.169903908498	0.0123970858864
a31	0.135114971592	0.213353828546	0.2819774961	0.0489054996732	0.03079654758	0.277320367342	0.0125312790738
a0	0.176237285048	0.199258195641	0.265564344291	0.0367603314667	0.0467702258583	0.212220280698	0.0631893622476
a20	0.353048210962	0.00459416483048	0.250429848121	0.152353995707	0.013767667994	0.208261299724	0.0175448232566
a31	0.221656842971	0.000921944436	0.345971045771	0.117145558523	0.0136325723874	0.243258372382	0.0574136650592
a13	0.406295198031	0.00398978489237	0.215621216028	0.0377896463648	0.0688050704206	0.256786794324	0.0107122956287
a38	0.23781589513	0.0012324829174	0.175826079101	0.150356062336	0.0448116345214	0.36111518864	0.0288426672749
a31	0.223729547284	0.0019901589355	0.03780197968	0.225483082064	0.060109430562	0.426392026	0.024493796254
a20	0.523919623504	0.00139209679836	0.0252180639862	0.104479730862	0.0290739738986	0.303650157	0.0122664368513
a31	0.024803202	0.00139314770796	0.0218805506818	0.06117734039	0.0347913987878	0.81103405	0.044920287868
a20	0.357796134163	0.00278414641836	0.0206060138272	0.16670707774	0.029064908922	0.3941009422	0.028940778074
a33	0.0085141744708	0.0128925058973	0.031066439447	0.0549040060994	0.0290595828974	0.798459418	0.06510389738
a31	0.0188711787414	0.0424313541192	0.0603904093868	0.173116706111	0.0213057336074	0.627308238	0.056576337066
a28	0.24304443137	0.0276785532755	0.0391605870072	0.1088887916	0.01111483676	0.374381104	0.19573171676
a31	0.0237448820378	0.0555182166179	0.0854462568253	0.0403507132808	0.0321505158084	0.705458072	0.05733134472
a0	0.200920447293	0.0472225208129	0.0273705243977	0.1445401346	0.014528279804	0.41113482	0.1542832714
a31	0.0118895419878	0.0720683825921	0.0973576205883	0.0747916571818	0.030616532062	0.645717434	0.06755883976
a3	0.170630634795	0.0733777430357	0.0352792289947	0.09519841706	0.01299243318	0.419377	0.1931445576
a31	0.0135956057717	0.079711713739	0.0984969231958	0.115764058643	0.02763036601	0.592976998	0.07182433464
a46	0.162395183441	0.081153388099	0.0404655267094	0.05484339244	0.010086936616	0.402434348	0.2486212227
a31	0.0168205529485	0.0755848904719	0.115416537264	0.134016456744	0.03209838649	0.499654584	0.12640857366
a39	0.136037067307	0.0649226917344	0.0419234150932	0.05217309434	0.00789167406	0.4067952	0.2902568286
a35	0.0209706852209	0.0619294786438	0.100249489484	0.133140870671	0.030762394224	0.540537388	0.11240972286
a31	0.00921176918949	0.0820569972422	0.0953138905276	0.1213992198	0.022708054444	0.550835986	0.1184741356
</S>	0.0412201772753	0.0469089957081	0.0467156822831	0.090417061448	0.01492091248	0.451031094	0.3087860646
