 	non	aveva	dove	aveva	per	stare	</S>
a7	0.339295776735	0.0029980248126	0.25024577314	0.00838483186931	0.064525942324	0.110083349527	0.224466285469
a31	0.176096527359	0.0389202017828	0.2545850786	0.0744618130977	0.244591085889	0.0915781085615	0.11976717463
a29	0.167619879308	0.0433009746016	0.239101554386	0.02389373523	0.244443550354	0.118322908133	0.163317379178
a19	0.255975457939	0.0898702777224	0.213203866986	0.00422987209413	0.140147070868	0.0927881003084	0.203785335316
a46	0.324699987804	0.0959865010756	0.162300335814	0.0116797972484	0.128978441125	0.0806856362412	0.195669302752
a31	0.235249197014	0.0041951439131	0.0161787714299	0.0660195154429	0.258055187075	0.197290349642	0.223011841809
a38	0.222399861252	0.0114834335549	0.212949215674	0.00833240457176	0.22548050632	0.151397981496	0.167956600294
a31	0.167738701851	0.0274828643081	0.0794413023137	0.0352238320243	0.177319622836	0.13732447	0.375469221832
a20	0.243664286173	0.012159718697	0.156134999482	0.017158924327	0.113929123246	0.155214900482	0.30173804406
a31	0.0323376245808	0.0231174424769	0.117833098282	0.0419395067365	0.211176327124	0.1996803274	0.37391564388
a0	0.164004302716	0.0092656182473	0.112191532654	0.0366369364	0.175631108174	0.19249788712	0.309772596
a31	0.0426664500072	0.0303865578406	0.0759015869796	0.0412022109595	0.218696014902	0.2266110458	0.36453612238
a46	0.0758328606095	0.00929961041578	0.104228630758	0.0418980786686	0.19612629166	0.23989894898	0.3327155726
a18	0.0508925468513	0.0429969532864	0.0588388376648	0.0480278489954	0.191320514893	0.249190861	0.3587324398
</S>	0.0411096023865	0.0221618891383	0.0802296204514	0.050328946638	0.0892534942084	0.3024435572	0.4144728798
