 	vuole	bianco	</S>
a20	0.404486133082	0.4775439114	0.117969939597
a31	0.54775403287	0.3420701606	0.110175841366
a11	0.5433300082	0.3224344556	0.13423556502
a31	0.3324356354	0.42169363276	0.245870742102
a39	0.5286333254	0.4270713936	0.044295258964
a20	0.3863094038	0.1941014006	0.41958917507
a31	0.225245696194	0.2859580376	0.48879628448
a39	0.285881161053	0.3955859738	0.31853288614
a46	0.160663673383	0.167920737942	0.671415594
a24	0.0598702146759	0.26166085542	0.6784689274
a46	0.141920433943	0.324957508786	0.53312205122
</S>	0.113359827353	0.255554869982	0.63108528402
