 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.0168640652435	0.219994844587	0.158122562108	0.0325017016356	0.245551910224	0.277717444989	0.0492474432341
a31	0.0128575516328	0.207105483674	0.0247030300223	0.027673907808	0.17934242404	0.355991324445	0.192326262625
a17	0.0174529221358	0.350955144532	0.0100581865552	0.0190556843565	0.27092360931	0.257625704607	0.0739288047634
a11	0.200127519198	0.372733788652	0.0159597979425	0.0021738091099	0.210228618181	0.191469677113	0.00730678908995
a31	0.128660583926	0.279831522443	0.00266099135407	0.00123346411588	0.380647244421	0.197120670036	0.00984546989514
a20	0.197891788268	0.329083360766	0.0231411924116	0.0070240933641	0.0545602992	0.355908607982	0.0323906561179
a31	0.355560242599	0.023544409978	0.00316577571342	0.00027021937	0.209084616668	0.372243308255	0.0361314206205
a37	0.34761276116	0.241227298466	0.00181877352387	0.000466734813115	0.011050348659	0.394623621647	0.00320047103761
a24	0.293616978628	0.0748056309512	0.0132170110152	0.00695312197702	0.291063505783	0.242741889411	0.0776018372639
a28	0.258810078829	0.126358606481	0.0181131398786	0.00919103931579	0.216609090062	0.326334081215	0.0445839400976
a31	0.239650427951	0.13413834228	0.032407633	0.0131372654293	0.148230737313	0.312919748	0.119515854724
a24	0.0981165100499	0.215087967187	0.0682689178314	0.0251382700103	0.0617346390451	0.349228920328	0.182424755313
a35	0.214404285881	0.0522132652268	0.0655515993372	0.0362286255851	0.0993291004588	0.400666386	0.131606743008
a31	0.0571606136287	0.0992062972457	0.0411388709412	0.0876305106138	0.0357676479328	0.440749978	0.2383461048
a20	0.0060739854084	0.206819990175	0.151391925653	0.0303597728301	0.0524374749209	0.28928029208	0.263636529654
</S>	0.144362990076	0.0214748408382	0.0795722800743	0.0946230126512	0.0154471473285	0.383482792	0.2610369118
