 	ho	finito	di	scrivere	</S>
a38	0.397360592135	0.174596709349	0.06013452902	0.35700219478	0.0109059527094
a31	0.22354145821	0.124755169008	0.206885773443	0.315136242659	0.12968138957
a15	0.0229945960938	0.181713226942	0.398462036	0.367665468772	0.0291646492627
a18	0.344865117884	0.17691421986	0.110585514316	0.240854472794	0.126780672545
a31	0.319862564003	0.029054537766	0.0870129736912	0.45067704507	0.113392880332
a37	0.392538795785	0.114628577337	0.08934903614	0.3902918319	0.013191750515
a31	0.360558423077	0.0728300499829	0.064736690418	0.465869769	0.036005097774
a0	0.288984554653	0.0715094104087	0.206306024594	0.4215204616	0.0116794926796
a31	0.0210378694444	0.0222780321184	0.123912301037	0.7664445	0.06632732
a18	0.0425334770249	0.128434334968	0.166745058102	0.4469964268	0.215290707752
a31	0.0642849942215	0.145600864761	0.180768064973	0.4485227312	0.16082332774
a39	0.00366911069911	0.243305192208	0.0722321612578	0.3029058366	0.3778877183
a20	0.168820420224	0.217141602062	0.1687487673	0.208920030114	0.23636915958
a31	0.108091012518	0.258215931519	0.143318935811	0.2349445176	0.2554296066
a8	0.0065285927354	0.218967110072	0.0437158141962	0.307143008	0.4236454538
a20	0.146196741598	0.213537926062	0.156694700728	0.2093390774	0.2742315676
a31	0.0162753279033	0.276166994594	0.124100908814	0.2453248071	0.3381319544
</S>	0.0903171647746	0.109591410365	0.0181625454251	0.27502561194	0.5069032494
