 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.122676423519	0.0556571401631	0.031314652486	0.00176799827834	0.00837301932768	0.047906347457	0.00018272111174	0.000350106617	0.00538985669492	0.000336467978628	0.008317033106	0.00150351481	0.23104787022	0.00122174631924	0.0004510435582	0.002145897164	0.0024440669692	0.145998478521	0.00260385608442	0.00127729675465	0.0128312346037	0.00117007785302	0.129465888719	0.016320017746	0.146956853367	0.0222904225375
a31	0.0194184882923	0.0729318405011	0.143002505476	0.0068574570789	0.095524079632	0.12714596996	0.0154564139201	0.017368311288	0.0463116197358	0.0100553000014	0.01635137186	0.0276484403688	0.055179685314	0.0298393540025	0.0198984034094	0.019741401868	0.0387886660438	0.0232409082822	0.0106139251261	0.0553926259791	0.0270105249578	0.0198960856762	0.0201678434263	0.00669086417687	0.0620436870754	0.0134241683429
a1	0.0202271290988	0.164226341401	0.0071598768968	0.00140326989628	0.00343650932916	0.00624482745451	0.0103373818335	0.00595688821549	0.0209697593263	0.00908720559659	0.00523154024653	0.00865804645441	0.0062297582326	0.00706888279748	0.00208107235609	0.0136547204085	0.0102795620842	0.005389240303	0.000615625247551	0.0123414338214	0.0251087708086	0.0279690715615	0.329548442142	0.0242925853835	0.266788622837	0.00569346338393
a35	0.01267955588	0.150051102823	0.00820561308298	0.00808517551544	0.161047583719	0.0159640389402	0.022487767196	0.12167204076	0.027572372026	0.00387607917828	0.022302435792	0.004203687696	0.02030342028	0.0111792428483	0.0018214227844	0.025847802906	0.006074052178	0.00222657227884	0.000248181613464	0.00328128267786	0.028907768661	0.0013757049101	0.1462021545	0.00254567616752	0.134598570168	0.0572407169291
a31	0.0140967486	0.0263928279209	0.0103367006284	0.00593067044147	0.143936691837	0.0166211432108	0.0342794533569	0.0848365035818	0.0339685918096	0.00387966372818	0.04053911132	0.005457787236	0.170264776288	0.00904108241002	0.0031222317157	0.01248033137	0.0160521344438	0.00466274229415	0.00118656913001	0.00478748688269	0.0224256875617	0.00584599062377	0.161251930851	0.00957804482716	0.120100760774	0.0389243030408
a7	0.0132492478069	0.015542896886	0.0164939049402	0.012360937529	0.00994277693964	0.00592454796908	0.025548347233	0.00222046641851	0.00694429846644	0.00416848075117	0.0484660495451	0.00668316403646	0.190133734349	0.00354205840784	0.00899087908364	0.00359140906126	0.0205976406143	0.00996724580786	0.0105033686509	0.0297473325902	0.00530865407696	0.0440553079395	0.181594152991	0.134574548406	0.187240880914	0.00260763212363
a31	0.004794162792	0.00944732912633	0.00466292156176	0.00984648653474	0.179648403494	0.0017520459865	0.077463436072	0.0703676494003	0.00569649408614	0.000956142872079	0.02161744076	0.0094378556	0.186725410632	0.0110666100201	0.00528787926848	0.00676384988	0.0714362544306	0.00400035966236	0.00792105584448	0.0570340047707	0.00850249272412	0.0354274738176	0.0108457781777	0.0046426852508	0.118526389527	0.0761293856846
a24	0.0171458605775	0.00856118062152	0.00202401268067	0.00135995634376	0.0376741264016	0.00234611943668	0.0180236171826	0.00802089400414	0.0034420046325	0.000810506554665	0.188142566673	0.0042599458496	0.188809025623	0.068218485331	0.00487357202791	0.00140814278926	0.0852358366208	0.00282946469536	0.0175950185157	0.0524284732492	0.000461537721747	0.0624754464746	0.00196585864226	0.0496437501475	0.170827125905	0.00141741713094
a46	0.0143041732438	0.00188108983131	0.000988117251074	0.00706075881367	0.180457146004	0.00221583754066	0.00245989753642	0.0126937163556	0.0026296775754	0.00335950001191	0.0417896413526	0.006639236164	0.18280676465	0.00602728657975	0.0067791182494	0.0090026298088	0.026078427225	0.0124052900714	0.0209252908472	0.0766962771148	0.02670090148	0.03164997351	0.119821019277	0.00912932783933	0.162830756808	0.0326681670864
a24	0.148858858332	0.0116266121725	0.00567557771659	0.0127404398628	0.107106544393	0.0212966212078	0.011985298488	0.0082753040974	0.0029266271914	0.0014509878782	0.031517102288	0.006823590774	0.058907079856	0.024160437614	0.00931983182	0.016384585282	0.075408197868	0.00797050399257	0.0371310861781	0.0914525591743	0.01857178026	0.0597309782718	0.00502356614012	0.02470055108	0.1055005772	0.095454696386
a46	0.0193283010503	0.0152132155267	0.00632449164338	0.00500084874998	0.117454282109	0.0320535179038	0.00493691331635	0.002722452914	0.003455585544	0.00213459950896	0.0133163693	0.008957419736	0.197818566748	0.00824191382889	0.0136575977308	0.0227965233328	0.0206146971868	0.0143169798961	0.0269911626251	0.098391419076	0.0249218895853	0.0320033230042	0.0962692682804	0.0164405489084	0.157613372305	0.0390247155494
a31	0.05697422816	0.00459130922808	0.00347629045846	0.00476975640833	0.0447273404378	0.036946417376	0.009645366848	0.006378860454	0.010953987546	0.00386980103	0.01346919572	0.01148770468	0.141714884	0.01467652472	0.02247484854	0.027382186586	0.06281562826	0.0175326332972	0.0495209604348	0.121937434057	0.0142977762001	0.0503999848412	0.01308910406	0.0172079959	0.1540363945	0.085623400394
a8	0.0447081537603	0.00624202475075	0.00400416228024	0.00914942414148	0.0494417206826	0.014117561704	0.00076227927508	0.0105146204896	0.0275658571027	0.0119425672965	0.0555604831281	0.0325161070616	0.185353581859	0.00473463832367	0.0303673099076	0.03711509224	0.057595793391	0.0239714966389	0.0238258491029	0.0503393233103	0.01038730739	0.015216422721	0.00850634546626	0.0461172250118	0.231399132662	0.008545539162
