 	dei	genitori	</S>
a31	0.330901566111	0.6300309244	0.039067526971
a20	0.347293009322	0.64770202052	0.00500500990488
a31	0.25210349122	0.6053376032	0.142558953406
a18	0.25423068301	0.7304249192	0.0153444185596
a24	0.299698437984	0.584643784	0.115657769124
a28	0.422350862436	0.377909816	0.19973931074
a31	0.410314714524	0.318117179	0.2715681428
a20	0.112830698674	0.4136471214	0.47352214329
a31	0.0545337231067	0.514556479164	0.430909804
a20	0.00925334301663	0.39798432774	0.5927623517
a39	0.0872535881749	0.551210092816	0.361536313
a46	0.214465844182	0.52077770761	0.264756386
</S>	0.165692804432	0.5369449427	0.2973622838
