 	hai	già	mangiato	</S>
a38	0.0737579699695	0.602672257187	0.3100250864	0.0135446935319
a31	0.22206511388	0.28421973192	0.34939798014	0.144317154996
a20	0.0560966155839	0.340065222672	0.519853978512	0.083984183271
a31	0.251649450926	0.344475338149	0.345038839	0.058836355124
a27	0.0417238978662	0.356326856246	0.5902540428	0.0116952027656
a31	0.108329848577	0.351635953392	0.525085454	0.014948747568
a20	0.0738345444763	0.40175595405	0.5054693884	0.01894011058
a31	0.0369388667701	0.17512429934	0.58491837	0.2030184444
a39	0.0411111194894	0.274907219408	0.4015810622	0.28240059084
a20	0.148490097067	0.162486366612	0.385959646	0.3030639064
a10	0.155331764653	0.162144254145	0.354807529	0.3277164182
</S>	0.248910187081	0.0826763046054	0.31423973142	0.354173772022
