 	forse	sono	usciti	</S>
a23	0.15068102	0.15490745	0.32831782	0.36609375
a31	0.60313886	0.20341504	0.051404826	0.1420413
a23	0.5859782	0.24853249	0.053225383	0.11226398
a31	0.7836452	0.15808262	0.009821082	0.04845107
a10	0.6921527	0.1628404	0.06341908	0.081587896
a37	0.79359496	0.06419585	0.036107644	0.10610157
a31	0.82263273	0.049080096	0.045226917	0.08306022
a37	0.69496334	0.09601898	0.09454354	0.1144742
a31	0.66577446	0.11375859	0.08874914	0.13171782
a39	0.40619904	0.09071764	0.279316	0.22376725
a31	0.17447294	0.15110847	0.3221992	0.35221937
</S>	0.24365215	0.2006203	0.35105884	0.20466873
