 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.11979271	0.11973414	0.12080256	0.12323537	0.1203024	0.120546415	0.12236351	0.15322293
a31	0.1250087	0.38429964	0.063579	0.0137040205	0.017851245	0.104691006	0.16402328	0.12684305
a37	0.1359094	0.15855925	0.08258751	0.047036488	0.052906346	0.13183577	0.2811737	0.10999159
a31	0.14491843	0.10667803	0.17106995	0.028192068	0.022325128	0.11442131	0.1722842	0.24011086
a20	0.16238023	0.10106817	0.28842154	0.05266928	0.044864763	0.09971743	0.10559792	0.14528061
a31	0.17865068	0.07811661	0.12606058	0.07588526	0.0998891	0.12096433	0.08963757	0.23079596
a20	0.17366923	0.037987936	0.34153995	0.24819927	0.032011412	0.015556248	0.03564866	0.11538727
a13	0.08687696	0.0824451	0.34853184	0.13842693	0.16102442	0.05115038	0.01328022	0.11826412
a20	0.13389651	0.1134951	0.28295565	0.21363147	0.053222068	0.030918464	0.019986816	0.1518939
a24	0.14017221	0.09727169	0.41339093	0.17568386	0.04096679	0.025328292	0.020043017	0.08714326
a31	0.3743834	0.14321072	0.147579	0.15260114	0.04212228	0.022904577	0.018968917	0.09823005
a0	0.509653	0.099677816	0.15240942	0.032276984	0.013995475	0.028279047	0.086815126	0.076893136
a35	0.4402241	0.08231323	0.086635314	0.07701931	0.053353384	0.09203381	0.053583905	0.11483692
a0	0.3181203	0.121462844	0.116	0.050163534	0.089932196	0.14014398	0.08116519	0.08301197
a31	0.4323681	0.16285081	0.089737065	0.03613543	0.07450671	0.07606385	0.0654382	0.062899865
a11	0.20254749	0.15415856	0.14332074	0.05909801	0.09850747	0.16300747	0.09079809	0.08856222
a20	0.20970513	0.117261074	0.123338096	0.07716381	0.10412552	0.18756232	0.08762604	0.09321803
a41	0.15128443	0.12606128	0.13104439	0.07412705	0.107128926	0.19471793	0.11724377	0.09839228
a10	0.15795648	0.14092289	0.13814975	0.0759367	0.10562781	0.1897775	0.0985014	0.093127504
</S>	0.13022181	0.20298016	0.14520621	0.09447379	0.09490594	0.10695454	0.13084564	0.09441183
