 	l	ha	scritta	</S>
a20	0.22888882	0.22259688	0.22617888	0.32233536
a31	0.56430095	0.16080809	0.044407986	0.230483
a35	0.6353754	0.21824692	0.06920286	0.077174775
a31	0.6042408	0.19870241	0.09899131	0.09806549
a35	0.8178618	0.09017555	0.04861495	0.04334768
a31	0.8723785	0.0499203	0.022080423	0.055620663
a41	0.82708126	0.022394443	0.042314805	0.108209446
a31	0.76036924	0.08651623	0.054816198	0.098298386
a11	0.4816474	0.15334511	0.16689451	0.198113
a18	0.43130803	0.111934625	0.12448425	0.3322732
a13	0.28647795	0.24165218	0.22717719	0.24469273
</S>	0.16844118	0.23819837	0.26728943	0.32607102
