 	non	aveva	cosa	a	fare	</S>
a31	0.10680406	0.10628934	0.10877232	0.37756833	0.14290567	0.15766023
a18	0.48961473	0.107619636	0.06658404	0.10819553	0.09455049	0.13343553
a24	0.24456653	0.033417094	0.08318232	0.17427069	0.26373687	0.20082648
a20	0.1835693	0.091257304	0.13451646	0.2037207	0.21079998	0.17613626
a31	0.14429091	0.060901158	0.04914974	0.20505185	0.38183838	0.15876798
a18	0.07758117	0.02525488	0.034724176	0.27254125	0.41407403	0.17582443
a31	0.11019785	0.08432339	0.15286268	0.22593294	0.20289715	0.22378595
a17	0.11525995	0.08099987	0.053496696	0.12909412	0.25978047	0.36136892
a20	0.23531044	0.15340754	0.11579017	0.13564987	0.15598649	0.20385554
a31	0.16664179	0.25415897	0.20480299	0.10309748	0.13450885	0.13678992
</S>	0.11130452	0.15292569	0.24606743	0.15440445	0.17290157	0.16239637
