 	l	ho	sentito	quando	veniva	</S>
a31	0.19948858	0.051931903	0.048898894	0.048808776	0.53834677	0.1125251
a46	0.42364344	0.24693012	0.033257112	0.028795185	0.20931658	0.058057614
a41	0.20335323	0.65200514	0.017157577	0.040784348	0.027729817	0.058969967
a31	0.16448769	0.24812981	0.107097246	0.058413874	0.33630404	0.08556727
a24	0.108158976	0.12730199	0.0815236	0.029274296	0.4893536	0.16438751
a31	0.24353413	0.43937564	0.13258035	0.079780795	0.057608962	0.04712021
a15	0.7466126	0.12517358	0.03832807	0.040882204	0.026065098	0.022938387
a46	0.38003606	0.37774187	0.0983615	0.055548716	0.036784753	0.051527135
a31	0.4617275	0.2628637	0.11203872	0.06963569	0.033601683	0.060132787
a0	0.416343	0.14171271	0.15399864	0.15442139	0.077255465	0.056268826
a41	0.4095121	0.22254537	0.14293452	0.09411625	0.04602331	0.08486845
</S>	0.26704577	0.07888813	0.22276315	0.15332025	0.13675645	0.14122628
