 	il	morto	si	piange	</S>
a20	0.19827238	0.197737	0.19449055	0.21394598	0.1955541
a31	0.04166471	0.38650233	0.2527964	0.012514301	0.3065222
a18	0.08308778	0.3991361	0.40679824	0.009886074	0.10109178
a15	0.25293952	0.44178867	0.16547021	0.08910765	0.050694086
a31	0.42783412	0.35652965	0.11800342	0.05305194	0.04458087
a15	0.31266594	0.5221284	0.11828146	0.01517493	0.031749275
a31	0.06519185	0.7720173	0.09324612	0.0017285243	0.067816176
a29	0.04331802	0.8307378	0.08295885	0.00091925316	0.04206607
a31	0.04376494	0.46112683	0.22436297	0.026640395	0.24410488
a0	0.07465036	0.8243452	0.05665489	0.002577875	0.041771665
a31	0.07769958	0.55029035	0.21501978	0.031212734	0.12577759
a13	0.18950194	0.65591055	0.09443666	0.0045431578	0.055607628
a18	0.18084385	0.57427585	0.123585455	0.020463064	0.10083177
a41	0.2338614	0.6204905	0.09881972	0.015807947	0.031020455
a31	0.2410955	0.62213033	0.089196816	0.020853858	0.026723497
a18	0.2472993	0.63321817	0.081683315	0.018237822	0.019561367
a31	0.2043206	0.65878147	0.0815733	0.018534945	0.036789715
a46	0.17601147	0.7047433	0.050805595	0.038032103	0.030407531
a31	0.32703733	0.47472563	0.06297283	0.0764376	0.058826644
a0	0.1274823	0.24451783	0.22250782	0.21415304	0.191339
a31	0.342372	0.4552428	0.058000747	0.07951278	0.06487159
</S>	0.11775845	0.16511083	0.22145574	0.27182886	0.22384612
