 	tutto	il	cibo	vuole	girato	</S>
a31	0.1644372	0.16388312	0.1643074	0.16587767	0.16930245	0.17219216
a8	0.0052384767	0.03836696	0.12445898	0.12259434	0.28821766	0.42112362
a31	0.051196445	0.20027624	0.07504952	0.076210804	0.2527352	0.34453183
a29	0.030400263	0.064563274	0.15386824	0.17754589	0.31542027	0.25820202
a20	0.0038016175	0.027671596	0.24971238	0.45717755	0.17755377	0.084083214
a39	0.007644745	0.018490579	0.28898326	0.46003446	0.15485865	0.06998832
a31	0.008327006	0.007638533	0.35675958	0.43756425	0.12773815	0.061972488
a0	0.00896842	0.007975233	0.4013682	0.41493016	0.09170369	0.07505423
a31	0.0044355798	0.003280999	0.14434852	0.15191926	0.4212117	0.27480394
a24	0.018830068	0.0080864355	0.07821957	0.054810405	0.4124589	0.42759463
a36	0.0027923002	0.0020986167	0.06643049	0.034005847	0.66974515	0.22492759
a11	0.007762468	0.0058206436	0.112191655	0.035424873	0.572668	0.26613235
a17	0.027442845	0.0057590995	0.025568437	0.021176072	0.5597466	0.360307
a31	0.0045242375	0.0033453826	0.023369152	0.005700399	0.71343905	0.24962175
a6	0.0618844	0.013063473	0.07896926	0.06288153	0.39315468	0.39004663
a31	0.018802263	0.014415709	0.026995748	0.019474827	0.34978715	0.5705243
a24	0.17982782	0.05492168	0.12160881	0.17779881	0.19409014	0.27175277
a6	0.025685208	0.013136867	0.016939377	0.018272735	0.37680164	0.5491641
a31	0.11551081	0.057803	0.06158029	0.09211376	0.18040779	0.4925844
a46	0.25557137	0.09653616	0.12368358	0.27463064	0.11175773	0.13782056
a39	0.11195416	0.07382835	0.077543646	0.10281741	0.18047714	0.45337936
a31	0.23840077	0.12330091	0.13326903	0.22891018	0.12826137	0.14785777
a41	0.24073364	0.1234045	0.13585861	0.25041315	0.1170283	0.13256179
a8	0.12932867	0.121549964	0.12174533	0.12952518	0.17963785	0.318213
</S>	0.1689997	0.16236196	0.16289113	0.16874474	0.1643997	0.1726028
