 	mi	sono	vestito	</S>
a39	0.17997067	0.1781173	0.18281804	0.4590939
a11	0.87591606	0.056253187	0.004396711	0.06343406
a13	0.92586756	0.04393455	0.0033370191	0.02686089
a18	0.72177064	0.23954749	0.0042555295	0.034426335
a31	0.91056913	0.08031172	0.0017309095	0.0073882425
a37	0.9502859	0.037376978	0.0027148298	0.009622214
a15	0.9086117	0.05830679	0.0040407376	0.029040746
a31	0.67643964	0.21444505	0.041760482	0.06735485
a46	0.5302586	0.2883758	0.06432089	0.11704474
a31	0.5991854	0.1430189	0.1007725	0.15702316
a20	0.117033765	0.57043695	0.1821081	0.13042113
a31	0.1919434	0.36930278	0.20854647	0.23020728
</S>	0.15274604	0.33464313	0.23555937	0.27705154
