 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.12969507	0.12340206	0.12516858	0.12262862	0.122899115	0.12466365	0.122616835	0.12892605
a0	0.0057054525	0.012040496	0.0446922	0.01652224	0.057595994	0.07952228	0.6748212	0.10910024
a31	0.07640699	0.038263526	0.03502892	0.021524526	0.046966854	0.034699555	0.55515623	0.19195342
a17	0.08354174	0.11527853	0.076506674	0.036285628	0.06986661	0.074171126	0.3788863	0.16546343
a20	0.0069793416	0.02033512	0.040607166	0.00513778	0.06548181	0.06436866	0.39596513	0.40112504
a31	0.03278476	0.119545	0.13674337	0.020008713	0.08168815	0.16207302	0.1886238	0.2585332
a37	0.027416235	0.06538499	0.085289076	0.007828325	0.12981802	0.12930025	0.27381983	0.28114325
a15	0.029832067	0.03549558	0.05862834	0.021040034	0.17659692	0.075675376	0.36452314	0.23820855
a46	0.018265925	0.023356844	0.053804304	0.016579095	0.16455494	0.049163975	0.3737128	0.30056208
a24	0.015258097	0.02061141	0.08895429	0.013500773	0.13928966	0.07156272	0.2484065	0.40241656
a31	0.017952261	0.015552151	0.10333999	0.014592037	0.15818648	0.07277433	0.22080927	0.3967935
a18	0.18309176	0.093181744	0.100137666	0.057727896	0.0893321	0.034953605	0.13999766	0.3015775
a11	0.03411223	0.030668028	0.053697363	0.015106576	0.16580902	0.03575417	0.21264885	0.45220378
a35	0.045786347	0.051316243	0.122032754	0.019479087	0.0772307	0.057353497	0.14705722	0.47974417
a31	0.04615459	0.041686885	0.12363828	0.019317402	0.08566038	0.09057192	0.1445071	0.44846347
a13	0.26289764	0.09766221	0.11995522	0.10542733	0.07433182	0.040371228	0.13378409	0.16557044
a11	0.0945497	0.11483241	0.10350539	0.037208363	0.08171907	0.066184714	0.14070135	0.36129904
a31	0.15357885	0.15492664	0.19621383	0.050040673	0.06425134	0.07828934	0.08430486	0.21839441
a46	0.22902161	0.15233843	0.18921383	0.1252181	0.081177644	0.068550676	0.048671644	0.105808094
a31	0.16014364	0.12066899	0.13122262	0.07388558	0.110077955	0.10608666	0.069328584	0.22858596
a24	0.12611902	0.2204936	0.29623982	0.08300154	0.04793619	0.098594815	0.04139407	0.086220935
a35	0.19810495	0.091377296	0.16143647	0.0825983	0.12925689	0.09928072	0.060006116	0.17793925
a31	0.1968188	0.13454631	0.24772188	0.06675798	0.06589506	0.1323334	0.06062299	0.09530352
a46	0.055755995	0.22455639	0.35359055	0.07094897	0.04965416	0.11456284	0.0465659	0.08436514
a31	0.2738495	0.09705967	0.17122205	0.08396071	0.09462953	0.09205682	0.07934977	0.10787195
</S>	0.05606461	0.20233744	0.3656406	0.067629	0.05245949	0.11979831	0.050637253	0.0854333
