 	ho	finito	di	scrivere	</S>
a38	0.18261953	0.18254918	0.18675877	0.21000513	0.2380674
a31	0.024835153	0.24342908	0.15268295	0.19309011	0.38596272
a15	0.42941618	0.3838414	0.08758945	0.037982624	0.061170343
a18	0.3976183	0.4151504	0.1512389	0.01000668	0.025985809
a31	0.31079128	0.39878422	0.23278542	0.011297094	0.046341952
a37	0.33639064	0.50989264	0.109992296	0.0059512993	0.037773147
a31	0.07965355	0.4797647	0.36697972	0.046360422	0.027241496
a0	0.06819598	0.7113288	0.095660344	0.06774674	0.057068184
a31	0.15383853	0.39766607	0.091970325	0.1616611	0.19486392
a18	0.22403835	0.33831602	0.1025315	0.19697638	0.1381377
a31	0.23229231	0.3279464	0.09919726	0.2078789	0.13268512
a39	0.122414716	0.14676441	0.21830519	0.33618322	0.17633247
a20	0.15112478	0.13256496	0.16162042	0.25629315	0.2983967
a31	0.13292938	0.09541031	0.27323285	0.2712497	0.22717774
a8	0.13033693	0.09982603	0.29295006	0.2618507	0.21503621
a20	0.07614573	0.06479669	0.25164524	0.24347661	0.36393568
a31	0.17544295	0.1379424	0.17078441	0.33378094	0.1820493
</S>	0.2345006	0.16258457	0.18412736	0.25275484	0.16603266
