 	lo	posso	finire	di	fare	</S>
a20	0.117464535	0.09651376	0.16725317	0.38232237	0.13280258	0.10364358
a31	0.46494472	0.05662382	0.028601931	0.07040507	0.28297856	0.096445896
a46	0.9446759	0.008577792	0.002022814	0.0026810484	0.023186553	0.018855888
a31	0.80853194	0.014910301	0.0054570935	0.02171887	0.09961788	0.04976388
a41	0.9100704	0.0028814015	0.0032638088	0.0078709675	0.032513674	0.043399736
a18	0.9866898	0.0026899048	0.00069231715	0.0020454505	0.0050312653	0.002851204
a7	0.86667204	0.018673047	0.008700056	0.021544695	0.048575863	0.0358343
a41	0.7730425	0.06940958	0.01979341	0.03709818	0.06423184	0.036424424
a31	0.75637084	0.04825068	0.056352858	0.043304674	0.049812343	0.045908563
a0	0.8191913	0.027106954	0.048326187	0.043773107	0.035499923	0.026102634
a31	0.41979647	0.057911005	0.20707537	0.09973779	0.10894877	0.106530584
a39	0.08986278	0.18041395	0.35543293	0.13063233	0.1343495	0.10930855
a46	0.12051496	0.09484953	0.3399329	0.15899463	0.15371667	0.13199142
</S>	0.064988576	0.08924023	0.25681722	0.27042776	0.2126369	0.10588932
