 	essendosi	vestito	</S>
a46	0.46752882	0.15632331	0.37614778
a31	0.67988515	0.11328782	0.206827
a18	0.82344735	0.08080679	0.0957458
a31	0.7041624	0.20816147	0.08767614
a20	0.87864864	0.06182879	0.059522588
a46	0.3656852	0.061392173	0.5729226
a20	0.53121567	0.14397115	0.32481316
a31	0.64556676	0.1499529	0.2044804
a0	0.62915915	0.19869931	0.17214154
a46	0.45736474	0.1495486	0.39308664
a35	0.57098514	0.14922313	0.27979168
a46	0.42477268	0.22885187	0.3463754
a24	0.37706912	0.18341483	0.4395161
a46	0.2618959	0.15050814	0.58759594
a24	0.31471375	0.115051866	0.57023436
a31	0.2601706	0.103948705	0.6358807
</S>	0.43168297	0.16958752	0.39872947
