 	non	ti	dimentichiamo	mai	</S>
a8	0.1976437	0.19735032	0.19809522	0.20710842	0.19980235
a31	0.64146996	0.20989713	0.0014171207	0.09153568	0.055680145
a20	0.12605615	0.29408142	0.004694863	0.34472597	0.23044167
a31	0.21147545	0.72880846	0.00049887755	0.031119594	0.02809768
a13	0.21244134	0.7188212	0.0010156599	0.044060208	0.023661528
a31	0.33062717	0.50727785	0.0005140549	0.1151148	0.046466082
a13	0.1700959	0.7832191	0.00036873046	0.0098732365	0.03644304
a1	0.13276653	0.6777893	0.0021946449	0.14136651	0.04588304
a31	0.27057806	0.587384	0.005507804	0.10767601	0.028854076
a41	0.23861676	0.5559471	0.010155441	0.1284348	0.066845804
a15	0.15735893	0.78482515	0.004568108	0.036120452	0.017127326
a13	0.23940305	0.6775127	0.006500965	0.057061296	0.019521937
a31	0.42401758	0.51236475	0.010869921	0.022431	0.03031674
a11	0.27600804	0.60991466	0.021648837	0.04518222	0.04724618
a31	0.38479424	0.427276	0.025846217	0.058225367	0.103858136
a46	0.348252	0.142259	0.25018725	0.16976999	0.089531735
a31	0.32967478	0.20764966	0.09150939	0.16745262	0.20371355
a46	0.16627532	0.13421693	0.305651	0.2510481	0.14280866
a31	0.29269612	0.15581617	0.13803072	0.25246194	0.16099513
</S>	0.17039463	0.1400871	0.29821208	0.2647279	0.12657833
