 	lo	sentii	che	arrivò	</S>
a11	0.2946128	0.20009543	0.14332265	0.18073171	0.18123735
a31	0.05159252	0.20782147	0.12757076	0.41661185	0.1964034
a28	0.13182847	0.08014924	0.2926362	0.23605722	0.25932887
a37	0.0742538	0.032869577	0.4170024	0.35156995	0.124304235
a20	0.013035476	0.08770242	0.34236783	0.52087694	0.03601723
a31	0.016528213	0.014916984	0.6848992	0.20391476	0.079740785
a1	0.03757025	0.015476803	0.67819124	0.13528162	0.13348009
a0	0.1669036	0.021596907	0.28806803	0.2550583	0.2683732
a17	0.071840934	0.013191353	0.23947525	0.44167876	0.23381369
a31	0.09469736	0.0139369415	0.18391567	0.4269382	0.28051183
a0	0.3405327	0.042828735	0.12679893	0.26311666	0.22672299
a46	0.11262613	0.02638976	0.054197147	0.56641	0.240377
a31	0.3999199	0.15081589	0.12465843	0.2212134	0.1033924
a18	0.3885544	0.15002541	0.1406258	0.20039023	0.12040426
a31	0.2621796	0.2464976	0.051401302	0.1409027	0.2990188
a39	0.41624203	0.15219964	0.14708418	0.09945806	0.18501613
a31	0.39326522	0.16543047	0.10453982	0.120815076	0.21594942
a46	0.23550417	0.17096068	0.25439623	0.15214586	0.18699303
</S>	0.19870046	0.19889125	0.18032558	0.1836566	0.23842609
