 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.09824214	0.097642854	0.09824978	0.1048924	0.13674246	0.24556944	0.21866092
a8	0.065259025	0.07033492	0.07155511	0.14493084	0.24365392	0.196357	0.20790918
a20	0.10463156	0.12665598	0.05938615	0.17272492	0.23657426	0.141079	0.15894814
a8	0.052842185	0.05144559	0.09816115	0.0879129	0.16062957	0.4438456	0.10516301
a31	0.009240634	0.042167146	0.05462343	0.20218112	0.23411906	0.2941161	0.16355243
a37	0.005943305	0.02332497	0.018517643	0.0784708	0.30118203	0.37034097	0.20222029
a10	0.008718319	0.011433946	0.019016564	0.086098924	0.28623036	0.3814601	0.20704179
a31	0.005574899	0.005879289	0.007969739	0.023391265	0.14479099	0.52511144	0.2872824
a21	0.011647261	0.012216444	0.016993359	0.04069157	0.17770305	0.49241108	0.24833727
a31	0.008461749	0.009746832	0.011697562	0.041521862	0.13224837	0.5957907	0.20053297
a10	0.07397851	0.014986856	0.035708264	0.054043613	0.123662636	0.40589526	0.2917249
a17	0.04612281	0.016085504	0.026178995	0.07986133	0.06739174	0.39960596	0.36475366
a20	0.072011925	0.060570218	0.03405277	0.3576411	0.13940945	0.15844604	0.17786841
a31	0.20617941	0.067015804	0.098312534	0.13876215	0.07319798	0.24338554	0.17314658
a39	0.15667327	0.07364353	0.15952222	0.14972161	0.06677522	0.2502862	0.14337802
a31	0.23711371	0.10763629	0.07478318	0.15755269	0.10377177	0.15085842	0.16828394
a8	0.091861136	0.07508754	0.30745733	0.08881581	0.10172811	0.17916211	0.155888
a39	0.09940038	0.09525323	0.107750185	0.1372242	0.12358579	0.23223308	0.20455319
a8	0.095852084	0.08986558	0.1781973	0.09072241	0.13358882	0.21815008	0.19362374
</S>	0.123654805	0.122964926	0.13407393	0.1303602	0.13174379	0.19157584	0.1656264
