 	il	lenzuolo	vuole	lavato	</S>
a31	0.15391125	0.17422248	0.17202136	0.3201065	0.17973837
a7	0.100858495	0.2005274	0.11499683	0.105492	0.47812536
a31	0.42818126	0.31313795	0.17270906	0.030255347	0.055716433
a0	0.37535453	0.33397105	0.24176732	0.025005989	0.02390109
a17	0.13596123	0.49393967	0.26966518	0.043384306	0.05704967
a13	0.09317853	0.5436339	0.2659583	0.029955098	0.06727418
a31	0.0606022	0.5962692	0.21323757	0.007515537	0.1223755
a17	0.04101528	0.8821368	0.04904884	0.005874925	0.02192412
a8	0.051043425	0.7565111	0.15306382	0.010403877	0.028977785
a31	0.14984775	0.51892453	0.12621132	0.030720295	0.17429613
a24	0.18080409	0.39342535	0.24597868	0.079885006	0.099906884
a46	0.049744964	0.8223074	0.10418232	0.011250859	0.01251438
a24	0.16093189	0.5666	0.14234214	0.07298149	0.05714446
a37	0.10135939	0.54587704	0.20111485	0.09368649	0.057962246
a31	0.15821481	0.22608376	0.24475753	0.20865315	0.16229084
</S>	0.22087727	0.16898824	0.20320228	0.25758412	0.14934807
