 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.1078577	0.104226835	0.11634364	0.13213529	0.104222946	0.109464884	0.10905593	0.103938825	0.11275397
a13	0.12205702	0.06463779	0.021580858	0.031595387	0.010874399	0.058542874	0.10213832	0.31887782	0.26969552
a0	0.039039228	0.012195935	0.019402746	0.020032708	0.020759126	0.042109307	0.036699075	0.68931884	0.120443076
a31	0.13083315	0.23565322	0.118000135	0.12546706	0.030026427	0.07729267	0.0696338	0.10818652	0.1049071
a18	0.09824966	0.19410177	0.090134986	0.15338469	0.033215657	0.08601521	0.09067989	0.14646819	0.107749924
a31	0.19241469	0.04799715	0.17980775	0.062625356	0.01623734	0.028490072	0.018878978	0.404701	0.04884768
a28	0.14407197	0.08221437	0.16493961	0.04723862	0.0131843835	0.04190508	0.033570133	0.35434344	0.11853238
a20	0.06775571	0.039442994	0.05844841	0.04580941	0.01536619	0.13347597	0.118574925	0.19374008	0.3273863
a31	0.053813085	0.05077164	0.069321774	0.054585036	0.01798307	0.13291325	0.11342408	0.18246067	0.32472745
a7	0.03115807	0.07908534	0.057773646	0.028916538	0.006548866	0.18414201	0.15146033	0.18547817	0.27543703
a38	0.015164467	0.030483702	0.038337097	0.034524873	0.00533947	0.13059102	0.11259876	0.24751636	0.38544428
a24	0.008128736	0.021176362	0.04189019	0.045643527	0.00596134	0.077136286	0.089623585	0.24325383	0.46718618
a46	0.007049698	0.014372049	0.03499592	0.045987707	0.0064333933	0.058644757	0.06615592	0.35626715	0.41009343
a31	0.008665497	0.011074562	0.06443896	0.1223541	0.010435092	0.05667698	0.06992898	0.22623222	0.43019357
a38	0.06323135	0.057107843	0.092702955	0.11253885	0.017163118	0.15628839	0.05630106	0.14192837	0.30273804
a31	0.029324422	0.018653251	0.10808212	0.13287348	0.005474157	0.098399185	0.06832078	0.19765645	0.34121612
a13	0.09917463	0.09409964	0.10184912	0.08632783	0.03168414	0.19951536	0.10270487	0.09615911	0.18848534
a31	0.063830696	0.024981296	0.12743735	0.11864158	0.018959222	0.23656087	0.074672714	0.14971302	0.18520324
a8	0.08065772	0.11713147	0.15099235	0.09967832	0.058546763	0.2620466	0.07432737	0.06082874	0.095790625
a20	0.05592264	0.055534963	0.13927934	0.10435568	0.022948045	0.32399392	0.097798	0.08473273	0.11543465
a31	0.09721859	0.13637525	0.17935649	0.17787561	0.077391826	0.16329266	0.06534855	0.045166846	0.057974234
a15	0.13357785	0.0926982	0.17002356	0.2095275	0.09257508	0.12878986	0.07403202	0.05468016	0.04409579
a31	0.11745177	0.084815904	0.11239899	0.17060186	0.044018768	0.23058255	0.10337962	0.04554637	0.09120422
a20	0.06881506	0.073794834	0.24621211	0.25738347	0.113156706	0.05582762	0.087942705	0.035848908	0.061018508
a39	0.2823035	0.08569285	0.081471525	0.14769228	0.088885725	0.10591896	0.05482449	0.065567285	0.08764338
a31	0.18102558	0.084064946	0.12461834	0.21623205	0.063962996	0.14942242	0.061725482	0.05149105	0.067457184
a8	0.04337887	0.05856129	0.27631995	0.3005348	0.09318783	0.046601586	0.09039774	0.038412906	0.05260506
a31	0.18015917	0.0853526	0.14896913	0.21504974	0.06536118	0.07453782	0.090236135	0.06086357	0.07947063
a37	0.036498856	0.064250186	0.25960365	0.294438	0.09944743	0.04904568	0.09508023	0.03686252	0.064773425
a20	0.12996219	0.06024753	0.15900964	0.23428528	0.09118986	0.14044556	0.061617743	0.05940813	0.06383411
a8	0.087460764	0.07311793	0.15035756	0.25608784	0.07791567	0.1271481	0.08185708	0.07262777	0.07342734
a20	0.0924699	0.078307435	0.16023779	0.2630778	0.07965707	0.07914966	0.08844149	0.07879418	0.07986476
a31	0.049013756	0.08087663	0.17417939	0.24027564	0.10193591	0.09487079	0.118460916	0.048948172	0.09143878
</S>	0.047149114	0.042249948	0.22181007	0.30341977	0.07682653	0.105850704	0.077604435	0.052055143	0.07303429
