 	non	ha	da	mangiare	</S>
a31	0.18262893	0.18222365	0.19653516	0.20312904	0.23548321
a20	0.49179128	0.12035244	0.022363562	0.08072523	0.2847675
a31	0.7733702	0.06531193	0.0067835283	0.055805586	0.09872875
a41	0.8068022	0.11054548	0.0053960416	0.034841374	0.0424149
a10	0.560813	0.20812993	0.010570743	0.031775802	0.18871048
a31	0.09155852	0.18474075	0.061784483	0.13279164	0.52912456
a15	0.27704385	0.4244201	0.08888883	0.08023845	0.1294088
a31	0.3355481	0.3455073	0.080047406	0.09974701	0.13915016
a39	0.24379598	0.16803806	0.14999086	0.16616374	0.2720113
a37	0.30219784	0.17992893	0.109648675	0.14715861	0.26106593
</S>	0.15263169	0.13645652	0.20459388	0.15784167	0.34847626
