 	deve	essere	bianco	</S>
a31	0.16139968	0.47982547	0.16990371	0.18887107
a11	0.11663301	0.086442135	0.48025036	0.31667456
a31	0.015091727	0.035026554	0.27672192	0.67315984
a37	0.040998034	0.030638663	0.26541027	0.66295296
a31	0.31049046	0.17776313	0.19270556	0.31904083
a37	0.14048693	0.1679896	0.32712907	0.3643944
a31	0.19793144	0.23932664	0.26746595	0.295276
a20	0.27792442	0.17447904	0.29961056	0.24798605
a31	0.21768591	0.17007884	0.25998947	0.35224578
a0	0.24226363	0.21926406	0.31127423	0.22719805
a31	0.24350314	0.24411364	0.2551385	0.25724474
a20	0.23165962	0.29715312	0.26327068	0.20791657
a18	0.24611017	0.31500313	0.2076173	0.23126933
</S>	0.17083295	0.5158265	0.1525738	0.1607668
