 	non	aveva	da	stare	</S>
a37	0.086537294	0.08530031	0.1029862	0.406724	0.3184522
a38	0.13419552	0.045311086	0.08785224	0.5086367	0.22400437
a24	0.21835187	0.08473972	0.1279862	0.4895347	0.07938756
a8	0.059720106	0.015585965	0.060958568	0.698736	0.16499934
a17	0.024263183	0.013837622	0.05354918	0.755321	0.15302905
a31	0.027426345	0.009875897	0.009653371	0.59472895	0.35831547
a20	0.028308965	0.015349211	0.021741496	0.6870541	0.2475463
a8	0.028525649	0.016603574	0.019821558	0.67151785	0.26353142
a31	0.031290483	0.011085766	0.010552705	0.85109293	0.09597809
a20	0.03733245	0.0338977	0.036125924	0.77437246	0.11827144
a31	0.07976547	0.059434593	0.040611226	0.51349294	0.3066957
a8	0.03782316	0.023551326	0.022164887	0.79249746	0.123963155
a31	0.08812839	0.08634059	0.086971305	0.47207412	0.26648557
</S>	0.14148353	0.14060512	0.15283306	0.39847893	0.16659938
