 	stava	ancora	cucinando	</S>
a8	0.3456781	0.18369627	0.22983825	0.24078739
a46	0.38172042	0.28219727	0.14839378	0.18768851
a24	0.4569441	0.3216498	0.10343361	0.117972486
a37	0.27400726	0.24392852	0.30814952	0.1739147
a20	0.10745646	0.21428896	0.48389566	0.19435887
a31	0.07359654	0.16858931	0.48914924	0.26866487
a37	0.06086319	0.1674457	0.488132	0.28355908
a31	0.04434868	0.14357746	0.44242638	0.36964753
a20	0.124345146	0.16923991	0.28451785	0.4218971
a31	0.13805285	0.24310598	0.19025089	0.42859033
a6	0.23854075	0.22402453	0.26325607	0.2741786
a31	0.3419215	0.15776731	0.19007176	0.31023937
a20	0.14019905	0.22486746	0.3608504	0.2740831
a46	0.2823071	0.25157654	0.246332	0.21978433
a31	0.47257718	0.18461776	0.123402536	0.21940249
</S>	0.1545486	0.25682858	0.37410358	0.21451925
