 	non	mi	aspetti	non	vengo	</S>
a33	0.12956026	0.12929907	0.13173705	0.16249295	0.15551247	0.2913982
a31	0.24366452	0.25355232	0.22464918	0.11235215	0.077332266	0.088449545
a37	0.08327899	0.15213394	0.35138905	0.24320777	0.06452876	0.10546156
a35	0.17607245	0.39078197	0.21197455	0.16538768	0.036499612	0.019283824
a31	0.18571554	0.38227636	0.19405448	0.1548239	0.041061565	0.0420682
a7	0.26753166	0.41472977	0.15824023	0.11243317	0.020909717	0.026155517
a18	0.0072861873	0.01903568	0.53426135	0.35383078	0.049911726	0.035674345
a24	0.0063918214	0.011536207	0.7504323	0.1647047	0.020922761	0.04601217
a31	0.014289873	0.01967305	0.39509693	0.19351214	0.07545414	0.30197385
a20	0.04715001	0.07390177	0.21615607	0.118809745	0.16569026	0.37829214
a8	0.084644035	0.10442526	0.34361503	0.11722602	0.111177705	0.23891193
a31	0.06252011	0.052509937	0.1983639	0.1296143	0.24229619	0.31469557
</S>	0.04685799	0.046122447	0.2233625	0.16260643	0.26293737	0.2581133
