 	perché	aveva	lavorato	molto	</S>
a46	0.20017178	0.19458847	0.19918644	0.19463569	0.21141757
a31	0.07670826	0.03429658	0.06555912	0.43629095	0.38714513
a17	0.11743655	0.044030216	0.044038776	0.5801867	0.21430777
a31	0.2647506	0.34785017	0.08709734	0.14087649	0.15942541
a37	0.2763237	0.32214463	0.070324875	0.09056354	0.24064323
a31	0.11300373	0.12804615	0.18560223	0.05145075	0.52189714
a18	0.18346228	0.27258405	0.16970333	0.04748658	0.32676372
a10	0.02994434	0.10860564	0.034923732	0.027819213	0.79870707
a31	0.2995726	0.12216989	0.13846296	0.031403787	0.40839073
a46	0.35866103	0.089796074	0.1372767	0.05437956	0.3598866
a20	0.12227162	0.124295935	0.07203003	0.09631828	0.5850841
a11	0.31246513	0.075309746	0.06459431	0.07995617	0.46767458
a18	0.2636296	0.1329206	0.065503605	0.13836655	0.39957964
a31	0.40681598	0.07873351	0.14053956	0.15736063	0.21655035
a0	0.6319744	0.029323567	0.22065198	0.034689557	0.08336048
a31	0.4145086	0.061191887	0.17611302	0.082599655	0.26558682
a8	0.10467719	0.10591594	0.6682159	0.04246921	0.07872182
a31	0.31364444	0.09700267	0.37547547	0.10268704	0.11119036
a7	0.11805082	0.16621298	0.4859799	0.08437297	0.14538336
a31	0.2584457	0.19516115	0.32054073	0.1119741	0.11387834
</S>	0.14991169	0.19264732	0.39858514	0.11856412	0.14029174
