 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.07410244	0.07410182	0.074166074	0.074764304	0.075184904	0.07615437	0.07639692	0.07478519	0.085500725	0.075865634	0.075678505	0.08320693	0.080092184
a24	0.00509355	0.0008995467	0.0019070702	0.03924882	0.00868287	0.025959836	0.111831315	0.19099835	0.1035566	0.21106456	0.13196953	0.083921626	0.08486632
a28	0.0790627	0.0035824024	0.00560195	0.01641248	0.049889635	0.075544946	0.11826572	0.12658617	0.086491466	0.11264279	0.11692104	0.100453496	0.10854525
a39	0.0756707	0.016996283	0.018702446	0.014619316	0.0819537	0.07928092	0.08515574	0.108864844	0.11390134	0.12503104	0.09860589	0.0921058	0.089111954
a17	0.046328887	0.0105020525	0.013853293	0.022600885	0.029674355	0.16248353	0.10056616	0.1578898	0.13686368	0.16506563	0.07883755	0.03878551	0.036548622
a31	0.09825379	0.02426696	0.040200498	0.041117426	0.06562059	0.12045543	0.068261445	0.07263438	0.044701464	0.069055066	0.13914676	0.054526284	0.16175991
a20	0.12141537	0.027323253	0.049804557	0.02581249	0.0788937	0.07219972	0.04975576	0.07926071	0.046951663	0.13053906	0.14505899	0.05134107	0.12164366
a31	0.044900533	0.009726959	0.020922832	0.03424451	0.038989715	0.040868916	0.0495867	0.06691703	0.06583714	0.13347656	0.16219012	0.12964499	0.20269404
a17	0.037650466	0.0066245743	0.008241914	0.0159876	0.03597974	0.07132855	0.08251765	0.12290337	0.077256426	0.20925513	0.13532753	0.09160347	0.10532365
a8	0.005623043	0.0036720561	0.004088344	0.016063102	0.010508179	0.01865892	0.07699294	0.1684535	0.09524784	0.13385245	0.14875822	0.150955	0.1671264
a31	0.001878831	0.0015366836	0.0018898044	0.005859826	0.0029456995	0.010996929	0.05643529	0.14150342	0.07836311	0.13925205	0.1878641	0.10145263	0.2700216
a8	0.005301877	0.002184671	0.0037762541	0.009364062	0.01227622	0.030093426	0.04483259	0.18328351	0.073641956	0.19766572	0.2399617	0.07171557	0.12590252
a24	0.0016553826	0.0024074742	0.0040661674	0.014808942	0.0050817993	0.020640448	0.06777929	0.22825976	0.08454811	0.14805742	0.18587993	0.11927549	0.11753984
