 	che	non	li	aspetiamo	</S>
a20	0.19957478	0.1617605	0.16233315	0.21569239	0.2606392
a8	0.08084858	0.056056596	0.0036240849	0.5251005	0.3343702
a7	0.35362968	0.32381806	0.005177626	0.26101878	0.056355868
a35	0.33904108	0.14751229	0.0016031219	0.47736096	0.03448259
a46	0.29555246	0.07764711	0.001290792	0.5397008	0.08580887
a31	0.39750418	0.10003531	0.004712445	0.35029125	0.14745681
a11	0.6573272	0.09834126	0.012545042	0.11485247	0.116934106
a31	0.4851107	0.14653987	0.024348436	0.13787985	0.20612112
a0	0.39128307	0.2654805	0.036224555	0.15067425	0.15633768
a31	0.31911507	0.08404153	0.043823913	0.18795331	0.36506617
a30	0.20617318	0.2386082	0.15244488	0.1837794	0.21899436
a0	0.30460727	0.120083705	0.049363952	0.2969906	0.2289545
a31	0.27039766	0.093582414	0.08401228	0.3166546	0.23535307
</S>	0.1709959	0.1284102	0.112094305	0.3554281	0.23307145
