 	devo	pulire	l	albero	</S>
a39	0.22734515	0.18669155	0.20371892	0.18678217	0.19546218
a31	0.11719241	0.16577837	0.21426812	0.2534173	0.24934378
a35	0.2730175	0.18695904	0.082444005	0.34268713	0.11489226
a31	0.12819326	0.20902579	0.08468083	0.5084771	0.06962301
a20	0.136913	0.06503003	0.16529569	0.5130225	0.11973875
a31	0.040826544	0.11339023	0.4408429	0.22056231	0.18437803
a37	0.056974787	0.095319614	0.44509822	0.2773267	0.1252807
a1	0.04416211	0.042019818	0.40605763	0.31798086	0.18977958
a20	0.041175235	0.029089319	0.36847857	0.3963446	0.16491233
a31	0.058333587	0.025619755	0.29768798	0.43703786	0.18132085
a39	0.067083485	0.027015898	0.3294822	0.38586596	0.19055246
a10	0.051962607	0.028149007	0.1715271	0.5524609	0.19590035
a29	0.19980368	0.07741399	0.27698314	0.2719223	0.17387685
a46	0.11871694	0.045961794	0.14566343	0.33615574	0.35350206
a31	0.28426662	0.049542792	0.111737855	0.14554974	0.40890303
a20	0.3911927	0.10870274	0.19238077	0.12022295	0.18750079
a13	0.22819073	0.08973304	0.22535154	0.25288415	0.20384057
a20	0.301539	0.09886972	0.1645091	0.17242327	0.26265886
a31	0.24309756	0.09868411	0.24447429	0.18959618	0.22414786
a11	0.36649987	0.088033676	0.18489075	0.16534019	0.19523557
a17	0.30989167	0.10561801	0.15334058	0.16476654	0.26638317
a20	0.24681884	0.16729596	0.20611161	0.16755553	0.21221797
</S>	0.31167254	0.11247602	0.20058164	0.13708557	0.23818421
