 	lo	sentii	che	viene	</S>
a43	0.083773345	0.06821277	0.07562156	0.54525906	0.22713327
a17	0.29182085	0.15874833	0.15646788	0.1972252	0.19573775
a11	0.37346414	0.38762346	0.087892964	0.054728042	0.09629144
a31	0.22910932	0.37785023	0.22328721	0.07683628	0.092916995
a46	0.1589981	0.16525629	0.27898747	0.28064772	0.116110414
a6	0.25590932	0.04755886	0.0974219	0.29072115	0.3083887
a31	0.23822296	0.034435663	0.063446246	0.5178313	0.14606383
a15	0.5055764	0.021305224	0.03294788	0.14659025	0.2935802
a20	0.5105891	0.019413583	0.03800504	0.25142756	0.18056467
a31	0.4836942	0.029796517	0.02077836	0.1742866	0.29144433
a17	0.44791374	0.03640875	0.03158594	0.12313694	0.36095458
a31	0.5649309	0.058743443	0.13213892	0.12650241	0.11768436
a13	0.3442529	0.12614386	0.12617345	0.107194245	0.29623556
a39	0.4028737	0.097995564	0.10011203	0.16996297	0.22905569
a46	0.23075563	0.14086375	0.2569691	0.22711778	0.14429381
a31	0.12610233	0.12015943	0.20586546	0.31015223	0.23772052
a18	0.17654878	0.13272864	0.18888941	0.30980623	0.19202697
</S>	0.20424926	0.14411168	0.16208068	0.34786248	0.14169581
