 	dovevo	comprare	il	pane	</S>
a31	0.19620587	0.19099003	0.20291625	0.1930445	0.21684334
a46	0.48233154	0.10556876	0.14545792	0.10511752	0.16152418
a31	0.6288684	0.10453957	0.114220284	0.048823647	0.1035481
a18	0.42276663	0.12761994	0.19965588	0.1366697	0.11328786
a13	0.17131115	0.19144203	0.19090605	0.09162347	0.35471734
a0	0.28044212	0.22424124	0.1996919	0.06578545	0.22983928
a20	0.09833657	0.18494378	0.2589546	0.1374934	0.3202717
a7	0.19259642	0.20269038	0.120746404	0.11879204	0.36517477
a20	0.1609388	0.2514557	0.12405644	0.09245968	0.3710894
a31	0.20543309	0.22394097	0.18012567	0.13428038	0.25621986
a11	0.12263092	0.24071907	0.3417593	0.14963354	0.14525717
a39	0.22636107	0.16449705	0.32158712	0.115091205	0.1724636
a31	0.27652323	0.15912282	0.29577228	0.1446836	0.12389803
a13	0.37797844	0.14668933	0.23639396	0.13718747	0.10175077
a17	0.37929186	0.15035136	0.23668589	0.11539682	0.11827406
a31	0.19754906	0.17676124	0.22319533	0.21817693	0.18431741
a46	0.24550913	0.18070902	0.19523865	0.21676785	0.16177532
a20	0.20254888	0.19367838	0.21698067	0.19342129	0.19337083
a31	0.19806494	0.18888187	0.19065355	0.22931612	0.1930835
</S>	0.26514557	0.20374444	0.17651995	0.1803849	0.17420512
