 	ho	cosa	a	fare	</S>
a23	0.07521391	0.064598136	0.30982834	0.21562019	0.3347394
a17	0.19097942	0.075374566	0.16917661	0.21656568	0.3479037
a31	0.4365973	0.35248896	0.045221012	0.09504754	0.07064528
a8	0.22885306	0.17035761	0.11686692	0.2770299	0.20689255
a31	0.1669693	0.047929354	0.16909793	0.3172141	0.29878935
a13	0.157972	0.08694122	0.1420667	0.31550935	0.29751074
a24	0.22243768	0.14976352	0.124824464	0.19337837	0.3095959
a31	0.1915924	0.16787605	0.14403532	0.1955474	0.30094883
a13	0.32417405	0.22021082	0.0883869	0.18442631	0.18280196
a31	0.27822697	0.16059294	0.12952411	0.16306923	0.2685867
a18	0.35829836	0.20968755	0.12949084	0.19988681	0.102636494
a0	0.23521267	0.16340216	0.13674928	0.16446368	0.30017212
a39	0.13263765	0.15780856	0.19934008	0.19764686	0.3125669
</S>	0.08701012	0.10078654	0.25676104	0.29142445	0.26401785
