 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a20	0.086254016	0.099947445	0.08908364	0.09346121	0.2796188	0.08654273	0.087921344	0.08723747	0.089933366
a13	0.06292414	0.21005277	0.103136204	0.048899673	0.058254045	0.16796553	0.10128301	0.16673838	0.080746256
a20	0.06130332	0.35390228	0.111876525	0.05632135	0.035395246	0.14687738	0.044353586	0.11117965	0.078790605
a7	0.07438598	0.22871886	0.18782218	0.09561037	0.086605676	0.15102816	0.04785558	0.06711581	0.060857397
a36	0.084088326	0.20397143	0.1654647	0.09915119	0.09201389	0.16637632	0.048426136	0.07383074	0.0666773
a7	0.028361633	0.27681932	0.08409282	0.08803741	0.032794897	0.117707975	0.053729765	0.19468449	0.123771645
a31	0.08919258	0.24101326	0.04958686	0.01551716	0.04167932	0.115685254	0.15095566	0.14647864	0.14989129
a37	0.063456945	0.2022633	0.1152283	0.061628453	0.06571766	0.15857379	0.095878035	0.13250563	0.10474795
a31	0.06440041	0.2583325	0.045676593	0.01948215	0.03227511	0.054040685	0.18043691	0.16299029	0.18236539
a37	0.095681295	0.19346626	0.11389663	0.027148483	0.03318358	0.030986292	0.16943021	0.16955881	0.16664845
a41	0.03021983	0.17617357	0.034510426	0.025280967	0.041824605	0.028197685	0.16946721	0.22754744	0.26677823
a21	0.018150773	0.19127838	0.034268595	0.0281299	0.046269152	0.027097672	0.14392458	0.23148255	0.2793984
a31	0.015892956	0.18603058	0.03927721	0.030646399	0.04637631	0.025741396	0.15604451	0.23492865	0.26506197
a39	0.012981527	0.10975799	0.06733825	0.033934806	0.044693194	0.015740003	0.1972182	0.28122005	0.23711602
a13	0.004819534	0.09523175	0.023760797	0.034435503	0.07600647	0.014540848	0.14345175	0.31504777	0.2927055
a31	0.0028679203	0.12283448	0.016374227	0.039615106	0.11927004	0.009635017	0.15661593	0.36260706	0.17018025
a20	0.0059490786	0.084342994	0.02371786	0.030626867	0.1402153	0.009875063	0.215583	0.3515348	0.13815506
a31	0.0073821177	0.26200715	0.01749437	0.0376395	0.15733136	0.030828124	0.1469728	0.20770238	0.13264224
a35	0.007798062	0.15747486	0.04978789	0.049805183	0.18173218	0.015488515	0.14312759	0.2629799	0.1318058
a31	0.0041827974	0.17974728	0.019070638	0.058742873	0.15126859	0.030353026	0.13606857	0.21851614	0.20205002
a26	0.008559955	0.16991714	0.13392954	0.16459978	0.38988495	0.021393556	0.026636291	0.046542566	0.038536202
a9	0.0040257713	0.14839752	0.016951196	0.06633457	0.18896842	0.019908385	0.12113763	0.2213233	0.2129532
a33	0.010770546	0.037153363	0.02632969	0.072130114	0.38688707	0.020068647	0.10595548	0.15524003	0.1854651
a31	0.015821233	0.040018924	0.03767189	0.0698529	0.41300073	0.028414395	0.08692658	0.16211033	0.14618297
a39	0.014207883	0.083812065	0.08015756	0.14085187	0.56802666	0.015185343	0.01378869	0.032022797	0.051947087
a24	0.009737056	0.2214735	0.04425533	0.07653426	0.31526017	0.029843757	0.054264173	0.10826818	0.14036353
a37	0.0060282163	0.100564495	0.029347615	0.056180865	0.44198176	0.016529584	0.042888775	0.09267744	0.21380126
a7	0.017491933	0.14837235	0.047826987	0.11067537	0.5062091	0.012922701	0.016567577	0.0320486	0.107885405
a17	0.006142967	0.19854634	0.048086505	0.08054329	0.46134448	0.025256287	0.033458658	0.037658416	0.10896304
a24	0.009159611	0.06967629	0.07647588	0.11535446	0.4950719	0.03278751	0.048352104	0.04833458	0.104787715
a34	0.015399253	0.09774526	0.08931911	0.14020577	0.41986993	0.037044182	0.0429569	0.053850472	0.103609055
a37	0.009759225	0.028001029	0.02379909	0.043459866	0.78815204	0.009357604	0.02258621	0.037912678	0.036972288
a31	0.008929895	0.071368225	0.039371435	0.088574715	0.6301464	0.01904448	0.049959198	0.04300809	0.04959753
a37	0.034101255	0.0482318	0.04687933	0.07042078	0.5598952	0.024947526	0.050577927	0.080255665	0.08469053
a41	0.03163979	0.06216487	0.052562296	0.08718221	0.45378757	0.032528065	0.07125471	0.093759194	0.11512123
a31	0.04518719	0.060045213	0.073892616	0.11523066	0.3774462	0.045247905	0.058121275	0.08839774	0.13643126
a28	0.077222124	0.0678297	0.11894313	0.14632198	0.1849703	0.061204918	0.07835578	0.10619819	0.15895393
a20	0.06903804	0.075386696	0.07083199	0.078809164	0.30161333	0.06570625	0.0717073	0.08918591	0.1777213
a17	0.07366	0.072505675	0.12954885	0.16796131	0.18357143	0.07147264	0.085331656	0.10069849	0.115249865
a31	0.077126905	0.07895079	0.111692056	0.15517664	0.23836444	0.07531032	0.081861734	0.089000106	0.09251695
a24	0.0814581	0.077892065	0.14842996	0.18624036	0.1423952	0.07790668	0.094765164	0.1085912	0.08232127
a20	0.09452141	0.09619439	0.09510698	0.10015966	0.21758084	0.092100844	0.0930719	0.0946971	0.116566904
</S>	0.07610728	0.07443739	0.15062566	0.18340924	0.15078847	0.074504435	0.09520912	0.11154904	0.08336929
