 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
a8	0.12128693	0.121197306	0.1212403	0.12129295	0.13704701	0.12125279	0.12543619	0.13124654
a31	0.02966513	0.014813653	0.01454841	0.03040901	0.024172878	0.10731565	0.499264	0.2798113
a8	0.006407787	0.007211087	0.028151618	0.03062291	0.031859893	0.14232434	0.37455383	0.37886852
a31	0.13477866	0.22203161	0.25763726	0.15517226	0.038851168	0.07583485	0.05734368	0.058350485
a20	0.076824486	0.16384877	0.19901855	0.14426781	0.08665107	0.13090049	0.09961561	0.0988732
a31	0.0886936	0.097213425	0.21144687	0.01430381	0.1068219	0.16276044	0.13731562	0.18144429
a24	0.09510858	0.126483	0.20609114	0.053255856	0.10619015	0.1864061	0.06878376	0.15768142
a31	0.0052499464	0.008192992	0.02295254	0.025121467	0.03803641	0.14952183	0.21860524	0.53231966
a28	0.012216853	0.018226434	0.04311586	0.019945985	0.03134701	0.11145276	0.22941321	0.53428185
a17	0.0033160648	0.0035465206	0.015105766	0.009311991	0.017974846	0.086346604	0.27245456	0.5919437
a31	0.0027679696	0.0022696254	0.017238716	0.0056195795	0.023619076	0.045427773	0.42192182	0.48113546
a28	0.04101451	0.019137869	0.07009164	0.025478069	0.06312122	0.08986078	0.20704287	0.4842531
a13	0.005970236	0.004547314	0.016731247	0.005855247	0.013596461	0.046939988	0.43793574	0.46842378
a31	0.014810093	0.009718285	0.020045105	0.012427467	0.040610217	0.039405596	0.42777416	0.43520907
a23	0.0331285	0.019283421	0.036012854	0.01795676	0.12179985	0.052195676	0.13372892	0.58589405
a31	0.025022732	0.016559446	0.02502599	0.02449155	0.033235986	0.09066407	0.35982808	0.42517218
a18	0.062264983	0.049339224	0.079498984	0.041862354	0.13907652	0.069777176	0.16847555	0.38970518
a31	0.0788375	0.04001202	0.03585413	0.029323988	0.06815821	0.055025533	0.20511928	0.4876693
a18	0.12197634	0.09392658	0.119764395	0.06813637	0.22979687	0.07598606	0.14025944	0.15015402
a31	0.15359505	0.08654012	0.098680034	0.05317713	0.19528888	0.077741735	0.10737873	0.22759843
a24	0.0905794	0.12203185	0.15871754	0.08699585	0.19551419	0.08830687	0.16156211	0.09629225
a17	0.14062881	0.06423751	0.067336306	0.057148106	0.2462158	0.061910048	0.16898216	0.19354133
a20	0.070660576	0.08027365	0.09956168	0.079691626	0.28973383	0.070932426	0.16722082	0.1419254
</S>	0.101731434	0.14350471	0.17996077	0.1000416	0.1385105	0.10715035	0.13520315	0.093897454
