 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.12254735	0.11968262	0.11977551	0.124647684	0.30966762	0.20367928
a20	0.29251784	0.1337391	0.054132797	0.14692786	0.15642941	0.216253
a31	0.39763203	0.4474038	0.07616529	0.03420106	0.011129551	0.03346823
a28	0.40196925	0.36700857	0.09512875	0.035476733	0.02228388	0.07813276
a31	0.5411736	0.18453175	0.08191761	0.03149878	0.06511891	0.095759474
a13	0.4601121	0.26297313	0.058946725	0.07557524	0.024864534	0.117528245
a18	0.76064247	0.090018705	0.037862673	0.019201223	0.0615582	0.030716706
a31	0.2490232	0.109480515	0.09747474	0.1298776	0.25959948	0.15454447
a27	0.13919939	0.24331103	0.21939945	0.12829506	0.13601796	0.13377711
a31	0.1540388	0.22574161	0.19109108	0.15171285	0.13270117	0.1447145
a20	0.041628253	0.15926859	0.3170401	0.19039835	0.10005026	0.19161443
a31	0.07104498	0.12969933	0.21359056	0.20666322	0.13627335	0.24272853
a39	0.08201522	0.11294471	0.2536964	0.26279974	0.18242632	0.106117606
a31	0.0839962	0.101693116	0.25455698	0.23120084	0.20350328	0.12504956
a33	0.10430899	0.12837619	0.2894804	0.1368189	0.24284361	0.098171964
</S>	0.112323865	0.11430547	0.18140125	0.17375663	0.29436556	0.12384722
