 	avete	fatto	già	le	verdure	</S>
a6	0.1393202	0.14658482	0.14681123	0.14401723	0.24187377	0.18139282
a46	0.044788077	0.07402792	0.122565426	0.21777685	0.27665374	0.26418802
a21	0.07875277	0.058108192	0.048696816	0.15820102	0.32641214	0.32982907
a20	0.050364107	0.08351004	0.050704617	0.09614654	0.4878298	0.2314449
a24	0.021626677	0.27570736	0.12710603	0.15822488	0.29513305	0.12220198
a31	0.0026879543	0.08497363	0.09474034	0.17595923	0.4159201	0.2257187
a14	0.0039736596	0.06566782	0.09517328	0.16787274	0.42839736	0.23891516
a41	0.006014498	0.08838915	0.107580714	0.16826738	0.4339832	0.19576502
a37	0.005549421	0.13861579	0.13466255	0.16363081	0.347532	0.21000941
a31	0.0028284711	0.09044821	0.086364195	0.113711715	0.521588	0.18505943
a6	0.003863299	0.08046679	0.07787814	0.1294382	0.55791456	0.150439
a46	0.005772887	0.33541083	0.21728602	0.24755174	0.14949627	0.044482276
a31	0.008408105	0.39368013	0.13819064	0.11002944	0.2806337	0.069058076
a17	0.0090834135	0.4057812	0.13452843	0.1803635	0.15914007	0.111103386
a20	0.013560283	0.50063723	0.16758311	0.09868907	0.12973805	0.089792244
a31	0.035417728	0.3825953	0.13520424	0.156931	0.17326277	0.116588876
a17	0.03909943	0.29730353	0.20163804	0.14433406	0.2124504	0.10517463
a20	0.054793544	0.37882158	0.18659136	0.08899632	0.13936909	0.15142816
a31	0.09844113	0.1903427	0.19482517	0.14301753	0.22557946	0.14779401
a20	0.13000783	0.15705633	0.1596264	0.15207449	0.2437874	0.15744758
a17	0.13160129	0.22026211	0.23370378	0.1475219	0.13184057	0.13507031
a31	0.1608353	0.16812845	0.16653825	0.16284145	0.17684811	0.16480851
a23	0.1385235	0.14106256	0.14423709	0.15959987	0.25460324	0.16197376
a31	0.16483147	0.16592413	0.16584516	0.16541639	0.1705241	0.16745874
a8	0.15001212	0.15075444	0.15240178	0.16030888	0.22503908	0.16148376
a31	0.16541341	0.16571593	0.16565135	0.165776	0.16918254	0.16826074
a28	0.15413702	0.15453938	0.15575062	0.16142875	0.21209261	0.16205166
a21	0.16582738	0.16625784	0.16646612	0.16616742	0.16830659	0.16697465
a31	0.16575854	0.16634472	0.16641453	0.16614419	0.16904098	0.166297
</S>	0.16246259	0.16241822	0.16288082	0.16453974	0.18292628	0.16477239
